period,date_mid,feature_47_mean,feature_21_mean,feature_31_mean,feature_47_std,feature_21_std,feature_31_std
-20,1650,0.005745358,-0.093557596,-0.09423829,0.624354,0.15712585,0.15792598
-19,1680,-0.028936643,-0.10560475,-0.10426814,0.6836377,0.18231739,0.20087469
0,43,-0.12150082,,,1.6183462,,
1,128,-0.004639669,,,1.7850045,,
2,212,-0.0001623052,,,1.2197863,,
3,297,0.022995211,,,1.0631962,,
4,382,0.036632624,,,1.1188376,,
5,470,0.0004405439,,,0.8456874,,
6,552,0.036542285,-0.111466065,-0.11334878,0.8863995,0.28501365,0.29102063
7,637,-0.016182767,-0.12204759,-0.12126135,0.8714017,0.23269463,0.22880156
8,722,-0.020892538,-0.022202374,-0.036029913,0.73810345,3.225624,2.562184
9,807,0.026811058,-0.016025152,-0.016341468,1.015572,0.3628016,0.3635859
10,891,0.00054284604,0.067163296,0.06706251,0.76549286,0.42998815,0.43014675
11,977,-0.010724209,0.19009745,0.18417458,0.79443896,0.582369,0.5633025
12,1062,0.018182123,0.019843064,0.0204468,0.65678304,0.31297573,0.31687984
13,1146,-0.020261457,-0.08715694,-0.08927938,0.84131277,0.22908713,0.22921859
14,1232,-0.07019508,0.09560505,0.09486754,0.7436641,0.3529467,0.3505056
15,1317,-0.022318387,0.0950896,0.09356358,0.76694673,0.3377022,0.33594695
16,1401,-0.065206826,0.20794284,0.20936315,0.84059405,0.44068024,0.4413205
17,1487,0.011754461,0.12723753,0.12895444,3.0895069,0.40431392,0.40609488
18,1572,-0.0005734612,0.027731799,0.026320627,0.730194,0.2765446,0.2689091
19,1626,-0.013624058,0.0124130035,0.011716825,0.7469974,0.2512036,0.24708502
