feature,excess_kurtosis
feature_47,123911.44402388403
feature_21,27381.451127703273
feature_31,22674.440081945686
feature_62,14795.226035886804
feature_71,11451.505811675032
feature_48,5927.16773729456
feature_63,4204.583697111653
feature_64,4112.020817977197
feature_78,2079.7168492065716
feature_13,1761.6630920345951
feature_68,1604.3722884794945
feature_77,1585.4504290312998
feature_72,1204.771098843566
feature_70,1022.6336138990648
feature_76,839.0596269229303
feature_74,795.9614467826807
feature_16,764.1462829285972
feature_75,683.1742766742738
feature_73,670.9539612173097
feature_14,637.6366673469734
feature_12,528.2887842118836
feature_59,406.6355781773834
feature_69,377.9355203978167
feature_49,350.439431413749
feature_17,295.05151061770175
feature_67,284.79510515373363
feature_15,181.97442502649287
feature_60,66.08869304011439
feature_06,34.35643402757757
feature_07,23.38920141128528
feature_58,18.947435320713197
feature_30,15.57756722684374
feature_05,13.162063840814966
feature_29,12.010695930729975
feature_38,10.420465664380918
feature_37,9.692582959422818
feature_08,8.623823685555108
feature_24,2.333133816658787
feature_61,1.7333518347781718
feature_26,1.3949094328270428
feature_20,1.0074185096949897
feature_40,0.7291042042887614
feature_43,0.7034352669339476
feature_54,0.5000866501797168
feature_44,0.4993546472495223
feature_41,0.49634795415252597
feature_51,0.38768245244904787
feature_00,0.26470982528418396
feature_03,0.23838477176952333
feature_02,0.23785143772236106
feature_36,0.20404790188097222
feature_42,0.15679707766083117
feature_39,0.12665368363287755
feature_33,0.11647299409002265
feature_01,0.06799592436820623
feature_18,-0.021442733833390015
feature_56,-0.04381816778228753
feature_19,-0.05622604194617997
feature_22,-0.06117451310742039
feature_45,-0.07323090104778007
feature_04,-0.08602505678969852
feature_55,-0.09150568956949856
feature_52,-0.1299932474380019
feature_65,-0.13976677379916325
feature_50,-0.14225177922383958
feature_46,-0.1424927763102244
feature_53,-0.16054880596755972
feature_66,-0.16107506879631828
feature_57,-0.16563716577111975
feature_35,-0.28549070402269283
feature_34,-0.2865583675531522
feature_32,-0.2993465056758793
feature_25,-0.33066962652814835
feature_28,-0.6347065929114155
feature_23,-0.7194875997943009
feature_27,-0.7540587363518156
