partition,rows,min_date,max_date,symbols,time_steps,size_mb
partition_id=0,1944210,0,169,20,849,448.55280780792236
partition_id=1,2804247,170,339,20,849,679.0661525726318
partition_id=2,3036873,340,509,29,849,757.9741821289062
partition_id=3,4016784,510,679,29,968,1003.6395082473755
partition_id=4,5022952,680,849,33,968,1261.396297454834
partition_id=5,5348200,850,1019,36,968,1341.922124862671
partition_id=6,6203912,1020,1189,39,968,1555.140510559082
partition_id=7,6335560,1190,1359,39,968,1584.8364353179932
partition_id=8,6140024,1360,1529,39,968,1533.7536087036133
partition_id=9,6274576,1530,1698,39,968,1563.6303577423096
