time_id,mean,mean_abs,std
0,0.052467093,1.3520354,1.8325202
1,0.0679502,1.3225253,1.7996346
2,0.07976816,1.2988689,1.7693853
3,0.075212516,1.280586,1.7527655
4,0.07877857,1.2604421,1.7257136
5,0.077014565,1.243233,1.7060148
6,0.07822559,1.2272629,1.6864473
7,0.0709285,1.2206926,1.6794534
8,0.06398369,1.2122223,1.6710044
9,0.06359062,1.2028953,1.6593008
10,0.066302314,1.1896703,1.6450901
11,0.06105929,1.1823704,1.6377953
12,0.06134484,1.1719863,1.6257381
13,0.06658245,1.1639031,1.6158785
14,0.071517125,1.1570966,1.6066558
15,0.061541997,1.1486516,1.5980345
16,0.067892194,1.1421229,1.5903013
17,0.063516624,1.1355824,1.5810298
18,0.069633745,1.1355637,1.5837272
19,0.07013529,1.1224554,1.5625657
20,0.055206984,1.106597,1.5435851
21,0.051873885,1.0903713,1.5269188
22,0.041304853,1.0710487,1.5048203
23,0.04311436,1.0628633,1.4959224
24,0.041924603,1.0474831,1.4753103
25,0.0401206,1.0405797,1.467817
26,0.03151123,1.0265129,1.4482584
27,0.036179926,1.018728,1.4391953
28,0.036185082,1.0077969,1.4248188
29,0.032831058,1.0034618,1.4167304
30,0.030266402,0.99277955,1.4053762
31,0.024672903,0.9853485,1.3959283
32,0.020653514,0.9730561,1.3798037
33,0.023909053,0.96619856,1.3746617
34,0.02646998,0.9539542,1.3578181
35,0.022143945,0.94892734,1.3497885
36,0.020922227,0.93876994,1.3365998
37,0.026495183,0.9367027,1.3347703
38,0.020761775,0.92710876,1.3219497
39,0.017278835,0.9244053,1.3208909
40,0.02281215,0.91390705,1.3091046
41,0.021841299,0.9086229,1.2999421
42,0.014553543,0.9009354,1.2886555
43,0.013907809,0.895375,1.2852339
44,0.009598008,0.8858257,1.269731
45,0.00934644,0.877753,1.2605698
46,0.013020985,0.86947256,1.2498766
47,0.002008351,0.8650246,1.2476486
48,-0.0030662697,0.8602395,1.2411468
49,0.005286341,0.8625758,1.2449499
50,0.0032727756,0.8488482,1.2235775
51,0.008254204,0.84223163,1.2177734
52,0.0065947813,0.8374157,1.208964
53,0.016451783,0.829873,1.200525
54,0.013918782,0.8268013,1.1944183
55,0.013520023,0.81883144,1.1853557
56,0.014439693,0.81245685,1.178832
57,0.015568594,0.81020766,1.1794976
58,0.009485748,0.8078526,1.1741744
59,0.0070612817,0.8076751,1.1737598
60,0.00954153,0.80054015,1.1640025
61,0.007914667,0.79798234,1.1620371
62,0.010022333,0.79415387,1.155864
63,0.009317235,0.7899027,1.15335
64,0.009167692,0.7836549,1.1463842
65,0.011153143,0.7768597,1.1364502
66,0.014545075,0.7723998,1.1308146
67,0.018160691,0.7719868,1.130675
68,0.014886769,0.77003294,1.1286008
69,0.015740097,0.7692122,1.1267699
70,0.007665526,0.76367086,1.119518
71,0.013107297,0.7597615,1.1152077
72,0.012201454,0.7542503,1.109546
73,0.010524969,0.75282294,1.1086656
74,0.012282325,0.74890256,1.1019927
75,0.006027414,0.74442214,1.095116
76,0.013165353,0.73932326,1.0892022
77,0.007250906,0.73811144,1.0861142
78,-0.0004171159,0.7393116,1.0880462
79,0.006046746,0.7384489,1.0873606
80,0.004734857,0.7318456,1.0761244
81,0.0043960996,0.72980434,1.0759838
82,0.005433888,0.7274107,1.0750122
83,0.00067770167,0.7232909,1.0672818
84,-0.0040908237,0.71841276,1.063359
85,-0.005214128,0.7147415,1.0551611
86,0.0019033325,0.7055798,1.0453593
87,0.002377473,0.70454705,1.0420433
88,0.005417221,0.7034163,1.0443234
89,0.0033624042,0.7069357,1.0465492
90,0.005908255,0.7017632,1.0391891
91,0.0034232812,0.69714576,1.0314869
92,0.010961943,0.6974551,1.0336955
93,0.006063045,0.6962866,1.0305561
94,0.003793363,0.68918425,1.0207146
95,-0.0028071182,0.6874796,1.0182962
96,0.0025964172,0.68244314,1.0140177
97,-0.0011722395,0.6815257,1.0108119
98,0.0006043128,0.6823368,1.0141199
99,0.010604811,0.6778694,1.0053533
100,0.009917972,0.6746634,1.0045223
101,0.004891636,0.6795252,1.009949
102,0.0070384294,0.6725464,0.9984109
103,0.011179236,0.67419505,1.00129
104,0.01505919,0.66942996,0.99548686
105,0.011529532,0.6676069,0.9930643
106,0.010140577,0.6671488,0.99454767
107,0.0065286905,0.66790104,0.98991394
108,0.008882813,0.66825813,0.9917091
109,0.005285741,0.6808506,1.0067837
110,0.004730757,0.68257385,1.0079796
111,0.0029411921,0.68580467,1.0058585
112,-0.00071866467,0.6855895,1.0046637
113,-0.000066711924,0.6843465,1.0066144
114,-0.0017266534,0.68273693,1.0019898
115,0.0022163158,0.68298334,1.0062214
116,-0.0033171263,0.6826444,1.0038055
