column,dtype
date_id,Int16
time_id,Int16
symbol_id,Int8
weight,Float32
feature_00,Float32
feature_01,Float32
feature_02,Float32
feature_03,Float32
feature_04,Float32
feature_05,Float32
feature_06,Float32
feature_07,Float32
feature_08,Float32
feature_09,Int8
feature_10,Int8
feature_11,Int16
feature_12,Float32
feature_13,Float32
feature_14,Float32
feature_15,Float32
feature_16,Float32
feature_17,Float32
feature_18,Float32
feature_19,Float32
feature_20,Float32
feature_21,Float32
feature_22,Float32
feature_23,Float32
feature_24,Float32
feature_25,Float32
feature_26,Float32
feature_27,Float32
feature_28,Float32
feature_29,Float32
feature_30,Float32
feature_31,Float32
feature_32,Float32
feature_33,Float32
feature_34,Float32
feature_35,Float32
feature_36,Float32
feature_37,Float32
feature_38,Float32
feature_39,Float32
feature_40,Float32
feature_41,Float32
feature_42,Float32
feature_43,Float32
feature_44,Float32
feature_45,Float32
feature_46,Float32
feature_47,Float32
feature_48,Float32
feature_49,Float32
feature_50,Float32
feature_51,Float32
feature_52,Float32
feature_53,Float32
feature_54,Float32
feature_55,Float32
feature_56,Float32
feature_57,Float32
feature_58,Float32
feature_59,Float32
feature_60,Float32
feature_61,Float32
feature_62,Float32
feature_63,Float32
feature_64,Float32
feature_65,Float32
feature_66,Float32
feature_67,Float32
feature_68,Float32
feature_69,Float32
feature_70,Float32
feature_71,Float32
feature_72,Float32
feature_73,Float32
feature_74,Float32
feature_75,Float32
feature_76,Float32
feature_77,Float32
feature_78,Float32
responder_0,Float32
responder_1,Float32
responder_2,Float32
responder_3,Float32
responder_4,Float32
responder_5,Float32
responder_6,Float32
responder_7,Float32
responder_8,Float32
