symbol_id,rows,days,time_steps
19,1550501,1684,968
7,1546272,1680,968
1,1543979,1678,968
16,1538290,1672,968
9,1525333,1658,968
10,1515692,1643,968
12,1514621,1643,968
33,1508099,1637,968
13,1507964,1636,968
2,1484398,1606,968
38,1478146,1602,968
17,1473734,1594,968
0,1468466,1592,968
34,1465720,1584,968
11,1460507,1578,968
14,1458690,1576,968
3,1446495,1565,968
30,1429094,1541,968
8,1404768,1523,968
15,1367847,1469,968
26,1147464,1209,968
20,1145409,1207,968
22,1141537,1203,968
36,1139720,1201,968
29,1127985,1189,968
25,1126287,1187,968
23,1086146,1140,968
5,1057321,1116,968
37,942832,974,968
21,940653,994,968
28,937024,968,968
35,911856,942,968
27,861520,890,968
31,716320,740,968
24,706640,730,968
4,683408,706,968
6,611776,632,968
32,595320,615,968
18,559504,578,968
