stream,window,mode,cap,lr,P,w_max,true_blowup,jane_div,crypto_div,new_div_k5,new_div_k10,L_ratio,P_ratio,new_div_k20
jane,0,snomd,0.5,0.5,0.25,0.5903613203086753,false,false,false,false,false,0.8690640788447119,1.0476097226401115,false
jane,0,snomd,8.0,0.5,4.0,3.257452517184324,false,false,false,false,false,0.8351862532501717,1.1501337238040694,false
jane,0,snomd,0.5,4.0,2.0,2.6563522333639193,false,false,false,false,false,0.7743162815269545,0.9146238945251763,false
jane,0,snomd,8.0,4.0,32.0,32.00568977953599,false,true,false,true,true,14.815114615989065,64.81449931872248,true
jane,0,ogd,0.0,0.1,,3.751839547519896e+38,true,true,true,true,true,5.016193042272815e+75,2.5002736335617034e+76,true
jane,0,ogd,0.0,4.0,,1.2382831481522046e+154,true,true,true,true,true,1.383017063066078e+300,6.978714504030479e+299,true
jane,0,snomd,1000000000.0,0.1,,0.41900286816621907,false,false,false,false,false,0.807253983504273,0.8151663255266031,false
jane,0,snomd,1000000000.0,4.0,,4008.446261660765,false,true,true,true,true,15316296.713755062,23288736.831864044,true
jane,1,snomd,0.5,0.5,0.25,0.5233824866160343,false,false,false,false,false,0.8344651180300025,0.7469824774948851,false
jane,1,snomd,8.0,0.5,4.0,3.314866386001963,false,false,false,false,false,0.9816380678761095,1.7744898251368768,false
jane,1,snomd,0.5,4.0,2.0,2.366944262463061,false,false,false,false,false,0.8250441937239978,1.0998087147393936,false
jane,1,snomd,8.0,4.0,32.0,32.153319337174665,false,true,false,true,true,14.860601789025075,58.21836473431906,true
jane,1,ogd,0.0,0.1,,1.0551922201719358e+17,true,true,true,true,true,4.416462245343758e+32,1.853227523047111e+33,true
jane,1,ogd,0.0,4.0,,1.3261523429830972e+154,true,true,true,true,true,9.211042824029856e+299,3.949909268601231e+299,true
jane,1,snomd,1000000000.0,0.1,,0.4559279333556044,false,false,false,false,false,0.8452620286148961,0.7820169054161774,false
jane,1,snomd,1000000000.0,4.0,,3772.0450337994575,false,true,true,true,true,8067387.1572456965,5064672.654555982,true
jane,2,snomd,0.5,0.5,0.25,0.6371188122951913,false,false,false,false,false,0.8337841677558127,0.7401871184966711,false
jane,2,snomd,8.0,0.5,4.0,4.02830470032778,false,false,false,false,false,0.8239510066599898,0.5938659739849896,false
jane,2,snomd,0.5,4.0,2.0,2.688216015103529,false,false,false,false,false,0.7591911721398528,0.5351081933885377,false
jane,2,snomd,8.0,4.0,32.0,34.128451405151985,false,true,false,true,true,6.057530975322413,18.187251928082773,true
jane,2,ogd,0.0,0.1,,3.7814063936659046e+25,true,true,true,true,true,1.5989911660907432e+49,5.629869423513411e+49,true
jane,2,ogd,0.0,4.0,,1.1060490235514011e+154,true,true,true,true,true,2.3780603863250042e+299,8.496939985295799e+298,true
jane,2,snomd,1000000000.0,0.1,,1.2060691653623825,false,false,false,false,false,0.8734385422282394,0.7824499291878688,false
jane,2,snomd,1000000000.0,4.0,,544714096.4647541,true,true,true,true,true,3.892040931363195e+16,3.2284092938534212e+16,true
crypto,0,snomd,0.5,0.5,0.25,0.28555445192373063,false,false,false,false,false,0.9986693816471358,0.9996845928093393,false
crypto,0,snomd,8.0,0.5,4.0,0.5268541038374372,false,false,false,false,false,1.0099033876431047,1.0062278394022348,false
crypto,0,snomd,0.5,4.0,2.0,2.1448496670298876,false,false,false,false,false,1.0436420627215892,1.0317662865162256,false
crypto,0,snomd,8.0,4.0,32.0,4.577020425918854,false,false,false,false,false,1.229328841547771,1.1437243195002151,false
crypto,0,ogd,0.0,0.1,,16857.613615201248,false,true,true,true,true,1054200.0101086742,3858519.0848974814,true
crypto,0,ogd,0.0,4.0,,4.288830084314616e+153,true,true,true,true,true,2.2324577131307317e+299,1.0895389668543734e+299,true
crypto,0,snomd,1000000000.0,0.1,,0.21580882606549098,false,false,false,false,false,0.9964416921680671,0.997192558721185,false
crypto,0,snomd,1000000000.0,4.0,,4.577020425918854,false,false,false,false,false,1.2435987937038968,1.1433033146499936,false
crypto,1,snomd,0.5,0.5,0.25,0.31971070470139834,false,false,false,false,false,1.0077176892573099,0.9887373914723702,false
crypto,1,snomd,8.0,0.5,4.0,0.9847762858637253,false,false,false,false,false,1.0346832539264144,1.0367384624215035,false
crypto,1,snomd,0.5,4.0,2.0,2.0,false,false,false,false,false,1.0869623000080908,1.073195236221564,false
crypto,1,snomd,8.0,4.0,32.0,12.161917681747527,false,true,false,true,true,2.062294980642718,3.356567453479805,true
crypto,1,ogd,0.0,0.1,,1.385623136822329,false,false,false,false,false,1.0884634667792312,1.1951477300028863,false
crypto,1,ogd,0.0,4.0,,8.720806595567827e+153,true,true,true,true,true,7.930132431394813e+299,2.787995376622967e+299,true
crypto,1,snomd,1000000000.0,0.1,,0.25892186243901627,false,false,false,false,false,1.004369232134992,0.993340326749786,false
crypto,1,snomd,1000000000.0,4.0,,212.0214949025244,false,true,false,true,true,358.9188032724688,579.9965174381759,true
crypto,2,snomd,0.5,0.5,0.25,0.2886360183515674,false,false,false,false,false,1.0215865428010131,1.040992157438991,false
crypto,2,snomd,8.0,0.5,4.0,0.7258692316135851,false,false,false,false,false,1.0610124324452797,1.0524625406120993,false
crypto,2,snomd,0.5,4.0,2.0,2.0000000000000004,false,false,false,false,false,1.143203131580648,1.1420537933880242,false
crypto,2,snomd,8.0,4.0,32.0,19.603914082228712,false,true,false,true,true,3.062657867522238,7.498799227991229,true
crypto,2,ogd,0.0,0.1,,0.5042499142759745,false,false,false,false,false,1.0425815594357832,1.0530760202310996,false
crypto,2,ogd,0.0,4.0,,4.774644041611865e+153,true,true,true,true,true,1.8379766673200087e+300,9.000123053278553e+299,true
crypto,2,snomd,1000000000.0,0.1,,0.16910682765466145,false,false,false,false,false,1.0158875279371349,1.0203787333197134,false
crypto,2,snomd,1000000000.0,4.0,,3350.7364797396467,false,true,true,true,true,1968216.233105651,1810166.142899244,true
synthetic,0,snomd,0.5,0.5,0.25,1.0432143340247664,false,true,false,false,false,0.9905763433337412,0.9946981333176993,false
