stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20
jane,full,0,snomd,0.5,0.5,0.5903613203086753,false,false,0.9016050217254977,0.9347258728670358,false,false,false,false
jane,full,0,snomd,2.0,0.5,0.942981865603858,false,false,0.7676348145276289,0.8797528813743065,false,false,false,false
jane,full,0,snomd,8.0,0.5,3.257452517184324,false,false,0.7891263185327012,0.772390223474457,false,false,false,false
jane,full,0,snomd,32.0,0.5,3.9430949921200202,false,false,0.8439455781703534,0.9472337385806561,false,false,false,false
jane,full,0,snomd,0.5,1.0,0.8192538824035761,false,false,0.848784134405593,0.8986554583890942,false,false,false,false
jane,full,0,snomd,2.0,1.0,1.8997535119656412,false,false,0.6827989618849442,0.7726949794498513,false,false,false,false
jane,full,0,snomd,8.0,1.0,7.21074175424751,false,false,0.9842437125604953,2.185826669956607,false,false,false,false
jane,full,0,snomd,32.0,1.0,16.936655512799774,false,true,4.809528089468623,18.443964939070415,true,true,true,true
jane,full,0,snomd,0.5,2.0,1.2686258816820952,false,false,0.7738394073861955,0.8275291247827453,false,false,false,false
jane,full,0,snomd,2.0,2.0,3.803541346077674,false,false,0.6755035432396285,0.6845749884420751,false,false,false,false
jane,full,0,snomd,8.0,2.0,15.62797581070436,false,true,2.135853622137233,8.688553805106128,true,true,true,true
jane,full,0,snomd,32.0,2.0,64.34447350128838,false,true,98.93583342325033,345.8029426388082,true,true,true,true
jane,full,0,snomd,0.5,4.0,2.6563522333639193,false,false,0.7316192520598024,0.7436181690229285,false,false,false,false
jane,full,0,snomd,2.0,4.0,7.770881281067523,false,false,1.006698230740216,2.578763667736563,false,false,false,false
jane,full,0,snomd,8.0,4.0,32.00568977953599,false,true,6.656341121563027,32.66641542248284,true,true,true,true
jane,full,0,snomd,32.0,4.0,128.6433859655257,false,true,311.75703915330274,1133.8505282165859,true,true,true,true
jane,full,0,snomd,0.5,8.0,5.35851206670021,false,false,0.8819699683392839,1.4116736329076147,false,false,false,false
jane,full,0,snomd,2.0,8.0,15.481159760838839,false,true,2.6235664825553098,10.361567879656892,true,true,true,true
jane,full,0,snomd,8.0,8.0,64.93685167086814,false,true,25.33952570391784,130.02509536249136,true,true,true,true
jane,full,0,snomd,32.0,8.0,261.3008528514303,false,true,1209.8050609565255,4392.570931899984,true,true,true,true
jane,full,0,ogd,0.0,0.01,13.244831670044261,false,true,4.276414835674912,9.583314052021207,true,true,true,true
jane,full,0,ogd,0.0,0.1,3.751839547519896e+38,true,true,2.1570536200465447e+75,1.2041612480963917e+76,true,true,true,true
jane,full,0,ogd,0.0,1.0,2.1613064120432915e+153,true,true,1.167052844403761e+300,6.696526377335567e+299,true,true,true,true
jane,full,0,ogd,0.0,4.0,1.254150696137498e+154,true,true,1.1930114907934036e+300,6.699051038718848e+299,true,true,true,true
jane,full,0,snomd,1000000000.0,0.01,0.08679453810564752,false,false,0.9728974300524679,0.9743805720146915,false,false,false,false
jane,full,0,snomd,1000000000.0,0.1,0.41900286816621907,false,false,0.8732316993630325,0.9251044507918256,false,false,false,false
jane,full,0,snomd,1000000000.0,1.0,16.936655512799774,false,true,4.807984393730419,18.443964939070415,true,true,true,true
jane,full,0,snomd,1000000000.0,4.0,4008.446261660765,false,true,10453366.646413095,14062540.131255476,true,true,true,true
jane,full,1,snomd,0.5,0.5,0.5233824866160343,false,false,0.8736028336046753,0.9307887632898699,false,false,false,false
jane,full,1,snomd,2.0,0.5,0.9150380922676997,false,false,0.7800174447856483,0.8204402058623587,false,false,false,false
jane,full,1,snomd,8.0,0.5,3.314866386001963,false,false,0.8787054843236248,1.228189017716876,false,false,false,false
jane,full,1,snomd,32.0,0.5,3.6319909943838686,false,false,0.9115671476270616,1.36969613698873,false,false,false,false
jane,full,1,snomd,0.5,1.0,0.8161431617941234,false,false,0.82468055511366,0.8890167618423529,false,false,false,false
jane,full,1,snomd,2.0,1.0,1.8045795290332758,false,false,0.7395516620287066,0.7594521342071986,false,false,false,false
jane,full,1,snomd,8.0,1.0,6.660922121646481,false,false,1.1588210195570237,2.7968316112520673,false,false,false,false
jane,full,1,snomd,32.0,1.0,17.743792044270222,false,true,6.364475925218281,23.843973467845775,true,true,true,true
jane,full,1,snomd,0.5,2.0,1.2578853117378768,false,false,0.7820591591360387,0.8337236622461616,false,false,false,false
jane,full,1,snomd,2.0,2.0,3.7038266927005217,false,false,0.7785791592852391,1.127897620302021,false,false,false,false
jane,full,1,snomd,8.0,2.0,14.011618605208957,false,true,2.3176128826281572,8.438944718985557,true,true,true,true
jane,full,1,snomd,32.0,2.0,52.29007018750595,false,true,55.148814057251165,209.9536155816135,true,true,true,true
jane,full,1,snomd,0.5,4.0,2.366944262463061,false,false,0.7801638886607957,0.8688070812280678,false,false,false,false
jane,full,1,snomd,2.0,4.0,7.758113815266171,false,false,1.1208198950080637,2.8035922650912997,false,false,false,false
jane,full,1,snomd,8.0,4.0,32.153319337174665,false,true,7.8491609807317335,34.54830113678006,true,true,true,true
jane,full,1,snomd,32.0,4.0,123.3244814636931,false,true,288.09435750022,1087.8015943206601,true,true,true,true
jane,full,1,snomd,0.5,8.0,4.733888524926122,false,false,0.9338778056239485,1.695747511233045,false,false,false,false
jane,full,1,snomd,2.0,8.0,16.842098895423486,false,true,2.637686721276834,9.66186225709987,true,true,true,true
jane,full,1,snomd,8.0,8.0,66.34385714796153,false,true,29.43917626083066,136.35224546390202,true,true,true,true
jane,full,1,snomd,32.0,8.0,267.1059359262743,false,true,1311.0859541979373,4737.5506187685405,true,true,true,true
jane,full,1,ogd,0.0,0.01,115.00026021842322,false,true,170.34007985900442,513.998111537466,true,true,true,true
jane,full,1,ogd,0.0,0.1,1.0551922201719358e+17,true,true,2.2371339799310534e+32,1.0748553150036898e+33,true,true,true,true
jane,full,1,ogd,0.0,1.0,2.993270264684869e+153,true,true,8.854544099786747e+299,4.5352128195801255e+299,true,true,true,true
jane,full,1,ogd,0.0,4.0,inf,true,true,8.917238766262406e+299,4.535871361968363e+299,true,true,true,true
jane,full,1,snomd,1000000000.0,0.01,0.09693789345210826,false,false,0.9823482270475581,0.9980147602027682,false,false,false,false
jane,full,1,snomd,1000000000.0,0.1,0.4559279333556044,false,false,0.8782664909488115,0.9258464424477305,false,false,false,false
jane,full,1,snomd,1000000000.0,1.0,17.743792044270222,false,true,6.364475925218281,23.843973467845775,true,true,true,true
jane,full,1,snomd,1000000000.0,4.0,3772.0450337994575,false,true,7676669.688762652,5241435.97354395,true,true,true,true
jane,full,2,snomd,0.5,0.5,0.6371188122951913,false,false,0.8786464548331208,0.7890722095572629,false,false,false,false
jane,full,2,snomd,2.0,0.5,1.0583065802941023,false,false,0.7903061880701735,0.6756041619961258,false,false,false,false
