protocol,window_idx,window,kind,lr,M,P,weighted_r2,diverged,n_steps,n_bind,bind_rate,r_p50,r_p90,r_p99,r_max,disp_mean,disp_max
per-row,1,"[0,120)",grid,0.5,0.5,0.25,0.05433922857183038,false,150000,87520,0.5834666666666667,0.6410472473671995,2.3251247758962656,5.749814221469465,82.83033885904435,0.0009897345837909218,0.25
per-row,1,"[0,120)",grid,0.5,1.0,0.5,0.09016724046309921,false,150000,50852,0.33901333333333333,0.6468491853147736,2.302197355959018,5.727195992461846,95.39822234247879,0.001560323156486241,0.4999999999999999
per-row,1,"[0,120)",grid,0.5,2.0,1.0,0.13613037885739443,false,150000,18787,0.12524666666666667,0.6701038291663484,2.2472004448855722,5.60424193933111,96.81422168400007,0.0021220951879531748,0.7071067811865475
per-row,1,"[0,120)",grid,0.5,4.0,2.0,0.1661389355645373,false,150000,3564,0.02376,0.6908393832972588,2.21645522771298,5.338657734455198,94.27825810184828,0.0024531921275149997,1.414213562373095
per-row,1,"[0,120)",grid,0.5,8.0,4.0,0.16643855620116277,false,150000,310,0.0020666666666666667,0.6978354142091424,2.2157829400242712,5.1583685160827955,73.54946542010686,0.002574573972019198,2.82842712474619
per-row,1,"[0,120)",grid,0.5,16.0,8.0,0.15886299894948375,false,150000,18,0.00012,0.6990540083214644,2.2186943319280616,5.134016631536287,52.86944430016882,0.002601896715268092,3.5166353581154364
per-row,1,"[0,120)",grid,1.0,0.5,0.5,0.09019131698360539,false,150000,86901,0.57934,0.6341723651420968,2.3310131757562678,5.793538301270507,94.64237167230895,0.0019723366459829554,0.5
per-row,1,"[0,120)",grid,1.0,1.0,1.0,0.14643636202820487,false,150000,50708,0.3380533333333333,0.6452031063372978,2.2997235924073274,5.782378608458549,111.87275912389897,0.0031210678446649915,0.9999999999999998
per-row,1,"[0,120)",grid,1.0,2.0,2.0,0.21005710272638556,false,150000,18407,0.12271333333333333,0.676322546061852,2.224685260659354,5.640148009016671,113.0513595581885,0.004257538705653998,1.414213562373095
per-row,1,"[0,120)",grid,1.0,4.0,4.0,0.24619105963492172,false,150000,3376,0.022506666666666668,0.7033576760538824,2.1868932048988947,5.255069126468043,99.62903101563903,0.004935984305332962,2.82842712474619
per-row,1,"[0,120)",grid,1.0,8.0,8.0,0.21260173047445874,false,150000,286,0.0019066666666666668,0.7127541162220704,2.192073918060515,5.019967157279051,64.15959593968185,0.005218388590993101,5.65685424949238
per-row,1,"[0,120)",grid,1.0,16.0,16.0,-0.15987063025221082,false,150000,20,0.00013333333333333334,0.7103177513106552,2.193576912656253,5.040202014731764,45.37677893633884,0.005438496620942188,11.31370849898476
per-row,1,"[0,120)",grid,2.0,0.5,1.0,0.14578626036120745,false,150000,86338,0.5755866666666667,0.6279996254567053,2.332171242863182,5.901102475687793,105.47788519001865,0.003933644238270128,1.0
per-row,1,"[0,120)",grid,2.0,1.0,2.0,0.213314090149613,false,150000,50677,0.3378466666666667,0.6448847513911069,2.2836492417665437,5.886217062854706,120.53916896322684,0.006266394278900085,1.9999999999999996
per-row,1,"[0,120)",grid,2.0,2.0,4.0,0.2858995849811651,false,150000,18280,0.12186666666666666,0.682822971971659,2.2104905907976127,5.6376079563985035,106.34604157516597,0.008563346342366475,2.82842712474619
per-row,1,"[0,120)",grid,2.0,4.0,8.0,0.30693339533844466,false,150000,3240,0.0216,0.7111745659479854,2.177401242038716,5.206628873806215,74.74391004862873,0.009965976603384724,5.65685424949238
per-row,1,"[0,120)",grid,2.0,8.0,16.0,0.11557040643032623,false,150000,309,0.00206,0.7193875046429857,2.17987874427883,4.984390364502462,66.91100549919668,0.010608360637183734,11.31370849898476
per-row,1,"[0,120)",grid,2.0,16.0,32.0,-1.3411300184163513,true,150000,33,0.00022,0.7179546239183465,2.178709543916776,5.020658806262452,39.809633906568095,0.011251004396416856,22.62741699796952
per-row,1,"[0,120)",grid,4.0,0.5,2.0,0.2094015124724643,false,150000,86513,0.5767533333333333,0.6275236735090675,2.3257054764087512,6.016973505268211,110.58933346480222,0.007911599342803381,2.0
per-row,1,"[0,120)",grid,4.0,1.0,4.0,0.26426650168854504,false,150000,50711,0.33807333333333334,0.6474160067030841,2.270873808882853,5.930935660180786,127.88822134508554,0.012593754092303693,3.999999999999999
per-row,1,"[0,120)",grid,4.0,2.0,8.0,0.3172425126430811,false,150000,18282,0.12188,0.683268201453705,2.212314300997888,5.59623793914347,90.74260790238642,0.017251700355736733,5.65685424949238
per-row,1,"[0,120)",grid,4.0,4.0,16.0,0.2051801034252384,false,150000,3368,0.022453333333333332,0.7044982325661546,2.186034017999416,5.24647857783895,99.27974105359839,0.020043214992829513,11.31370849898476
per-row,1,"[0,120)",grid,4.0,8.0,32.0,-0.5398242818933214,true,150000,359,0.0023933333333333333,0.710375589800208,2.1851612611789024,5.107851028494894,71.45402914858087,0.021464962002114688,22.62741699796952
per-row,1,"[0,120)",grid,4.0,16.0,64.0,-5.339494207395174,true,150000,46,0.0003066666666666667,0.7115069021628033,2.186158247199828,5.075799120901835,71.45402914858087,0.02290876791737657,45.25483399593904
per-row,1,"[0,120)",grid,8.0,0.5,4.0,0.25099096579057245,false,150000,87092,0.5806133333333333,0.6303193217783634,2.305970918333499,6.045613513695166,101.02866058999415,0.015924061637290772,4.0
per-row,1,"[0,120)",grid,8.0,1.0,8.0,0.21077974644251551,false,150000,50866,0.33910666666666667,0.6527044683735572,2.2714431307676817,5.835163428128688,141.74829465011874,0.025352271276326575,7.999999999999998
per-row,1,"[0,120)",grid,8.0,2.0,16.0,0.1276185515000151,false,150000,18506,0.12337333333333333,0.678304598497665,2.233526479802136,5.5724781270319825,141.74829465011874,0.03457104940898994,11.31370849898476
per-row,1,"[0,120)",grid,8.0,4.0,32.0,-0.560708118572975,true,150000,3569,0.023793333333333333,0.6898587187961411,2.2171946838332905,5.381295148433755,141.74829465011874,0.04028951002167428,22.62741699796952
per-row,1,"[0,120)",grid,8.0,8.0,64.0,-3.572804349514853,true,150000,489,0.00326,0.6905832438693231,2.2141413250133284,5.388891572284713,141.74829465011874,0.043499192884712545,45.25483399593904
per-row,1,"[0,120)",grid,8.0,16.0,128.0,-22.444195592415067,true,150000,81,0.00054,0.6929652588572679,2.2054863098509982,5.40583695827251,141.74829465011874,0.046950445288371445,90.50966799187808
per-row,1,"[0,120)",published,2.0,5.0,10.0,0.2845638615298025,false,150000,1574,0.010493333333333334,0.715530906960991,2.179333030493428,5.079605941348436,75.04952111561771,0.010212111187556784,7.071067811865475
per-row,1,"[0,120)",matched,3.0,2.0,6.0,0.3151693386606673,false,150000,18351,0.12234,0.6834920666057273,2.2132861697671746,5.603278026710915,96.9267754793948,0.012907087828444876,4.242640687119285
per-row,2,"[150,270)",grid,0.5,0.5,0.25,0.05725434203310764,false,150000,87438,0.58292,0.6341949830038581,2.307652765175647,6.152944533166364,38.45845794092602,0.0009961223257034563,0.25
per-row,2,"[150,270)",grid,0.5,1.0,0.5,0.08908260482678765,false,150000,50083,0.33388666666666666,0.6392073230226605,2.2988577061487967,6.105894745189025,43.70332027984711,0.001570384967837332,0.5
per-row,2,"[150,270)",grid,0.5,2.0,1.0,0.12694184445409407,false,150000,18640,0.12426666666666666,0.6564682636736053,2.2565218001539993,5.9521338409905775,43.70332027984711,0.0021422485772315514,0.7071067811865475
per-row,2,"[150,270)",grid,0.5,4.0,2.0,0.1526567155736024,false,150000,3773,0.025153333333333333,0.6778929431812196,2.231573103678499,5.623717839987787,43.70332027984711,0.0024999442018501477,1.414213562373095
per-row,2,"[150,270)",grid,0.5,8.0,4.0,0.1454951767529853,false,150000,363,0.00242,0.6874167840154772,2.2280764744209622,5.376076227019064,43.70332027984711,0.0026577621373647595,2.82842712474619
per-row,2,"[150,270)",grid,0.5,16.0,8.0,0.05902173379579467,false,150000,28,0.00018666666666666666,0.690287562006172,2.2287533330497333,5.293535603751883,77.69003571994979,0.0027903854609726358,5.65685424949238
per-row,2,"[150,270)",grid,1.0,0.5,0.5,0.0888530619441017,false,150000,86785,0.5785666666666667,0.6298667653270162,2.316346105687266,6.173924287181848,46.05017033732412,0.0019858474148628457,0.5
per-row,2,"[150,270)",grid,1.0,1.0,1.0,0.13473837725114124,false,150000,50043,0.33362,0.6379846789249976,2.2912204179901225,6.156268219094171,94.12953139108993,0.003148032556122768,1.0
per-row,2,"[150,270)",grid,1.0,2.0,2.0,0.18804752153729853,false,150000,18361,0.12240666666666666,0.6678180707039013,2.228373969616841,5.889160835360121,94.12953139108993,0.004316167126334648,1.414213562373095
per-row,2,"[150,270)",grid,1.0,4.0,4.0,0.2150796819680474,false,150000,3467,0.023113333333333333,0.6950207434969362,2.2021065999169256,5.396236720707649,94.12953139108993,0.005028014415406833,2.82842712474619
per-row,2,"[150,270)",grid,1.0,8.0,8.0,0.17348103564296935,false,150000,306,0.00204,0.7063308470508698,2.203579252637279,5.086040170990511,94.12953139108993,0.005359238005250269,5.65685424949238
per-row,2,"[150,270)",grid,1.0,16.0,16.0,-0.11185172196623694,false,150000,27,0.00018,0.7072665396128366,2.2070307018926183,5.032144139693106,155.27011213021694,0.005683545071184038,11.31370849898476
per-row,2,"[150,270)",grid,2.0,0.5,1.0,0.13265362863600372,false,150000,86493,0.57662,0.6253422710105472,2.3198473877505954,6.2106325718303825,94.12953139108993,0.003971233643761449,1.0
per-row,2,"[150,270)",grid,2.0,1.0,2.0,0.19151439011082672,false,150000,50158,0.33438666666666667,0.6414577146303105,2.2795168548719587,6.170824083539049,194.98195361357563,0.006340415771724866,2.0
per-row,2,"[150,270)",grid,2.0,2.0,4.0,0.2505657407799423,false,150000,18125,0.12083333333333333,0.6804372483765653,2.2062850112734913,5.805370463938865,194.98195361357566,0.008697671344268342,2.82842712474619
per-row,2,"[150,270)",grid,2.0,4.0,8.0,0.2398560971501359,false,150000,3187,0.021246666666666667,0.7145893216356322,2.178141891578612,5.150214370309716,194.98195361357566,0.010166301769475267,5.65685424949238
per-row,2,"[150,270)",grid,2.0,8.0,16.0,0.008791661778575599,false,150000,295,0.0019666666666666665,0.7228548457570091,2.1823415614617683,4.910763396638779,194.98195361357566,0.010871451286001008,11.31370849898476
per-row,2,"[150,270)",grid,2.0,16.0,32.0,-1.2563928278492655,true,150000,38,0.00025333333333333333,0.7229907687869273,2.1844395483969743,4.84830580989779,323.3094294669945,0.011673822423067907,22.62741699796952
per-row,2,"[150,270)",grid,4.0,0.5,2.0,0.1855005503995033,false,150000,86337,0.57558,0.6230447819992111,2.3183467933020645,6.309614582398187,194.98195361357563,0.007955201581755797,2.0
per-row,2,"[150,270)",grid,4.0,1.0,4.0,0.235252033531532,false,150000,50254,0.33502666666666664,0.646929057549996,2.2648698457344794,6.139832963567072,396.686798058547,0.012745033644750848,4.0
per-row,2,"[150,270)",grid,4.0,2.0,8.0,0.2527531842825589,false,150000,18088,0.12058666666666666,0.6913628691648964,2.1949232002443586,5.616952999952938,396.6867980585471,0.01754344034879529,5.65685424949238
