protocol,window_idx,window,kind,lr,M,P,weighted_r2,diverged,n_steps,n_bind,bind_rate,r_p50,r_p90,r_p99,r_max,disp_mean,disp_max
per-row,1,"[0,120)",grid,0.5,0.5,0.25,0.35862899356677724,false,4000,2247,0.56175,0.6068242328393143,2.217591494813453,5.297478786476915,8.876671325896508,0.005606827320234299,0.25
per-row,1,"[0,120)",grid,0.5,2.0,1.0,0.44898650858598865,false,4000,444,0.111,0.6220512959620909,2.141209664597029,5.07096482969756,15.033458010026925,0.011402575084704915,0.7071067811865475
per-row,1,"[0,120)",grid,0.5,8.0,4.0,-1.0915746118675274,true,4000,6,0.0015,0.6381691754670029,2.13061914049565,5.061508179932614,21.526853822567173,0.015056517515740981,2.82842712474619
per-row,1,"[0,120)",grid,2.0,0.5,1.0,0.3504644843893936,false,4000,2251,0.56275,0.6081966794615523,2.184253525237392,5.109660739521343,18.733330022427477,0.022266077744202712,1.0
per-row,1,"[0,120)",grid,2.0,2.0,4.0,-1.1935953239214774,true,4000,478,0.1195,0.5950057634178884,2.2141689869149075,5.236523338508762,36.30689639781193,0.04690854573175221,2.82842712474619
per-row,1,"[0,120)",grid,2.0,8.0,16.0,-26.840881306363485,true,4000,14,0.0035,0.6256178509955899,2.143357736078123,5.600060693160013,36.30689639781193,0.0722478361939046,11.31370849898476
per-row,1,"[0,120)",grid,8.0,0.5,4.0,-3.523449924889287,true,4000,2284,0.571,0.6030522770516099,2.176371479513065,5.242803648281383,71.45402914858089,0.0933799778023578,4.0
per-row,1,"[0,120)",grid,8.0,2.0,16.0,-32.201748870545465,true,4000,499,0.12475,0.5921094389688172,2.2571673197483455,5.685144143795331,141.74829465011874,0.20337043899959917,11.31370849898476
per-row,1,"[0,120)",grid,8.0,8.0,64.0,-415.6416331229127,true,4000,23,0.00575,0.6311389953231945,2.1994309396709353,6.117636989794323,141.74829465011874,0.33011870992950076,45.25483399593904
per-row,2,"[150,270)",grid,0.5,0.5,0.25,0.13468687823979064,false,4000,2166,0.5415,0.5542980101937927,2.4025818101021907,6.794222341772091,18.490214724225687,0.005870158846781273,0.25
per-row,2,"[150,270)",grid,0.5,2.0,1.0,0.3089367144655999,false,4000,482,0.1205,0.634914341412207,2.2576714409607797,6.7374026319938665,43.70332027984711,0.012870832190040893,0.7071067811865475
per-row,2,"[150,270)",grid,0.5,8.0,4.0,-0.34881918220577046,false,4000,19,0.00475,0.6552578146196832,2.191285887106856,5.9815479169079016,43.70332027984711,0.01828594133120849,2.82842712474619
per-row,2,"[150,270)",grid,2.0,0.5,1.0,0.24477504136972117,false,4000,2194,0.5485,0.5878756455006291,2.2897402643385814,7.169798606477965,94.12953139108993,0.023585736811647655,1.0
per-row,2,"[150,270)",grid,2.0,2.0,4.0,-0.47540901390303736,false,4000,483,0.12075,0.6384956509732624,2.2232580784099882,6.118498304803388,194.98195361357566,0.053000973412406165,2.82842712474619
per-row,2,"[150,270)",grid,2.0,8.0,16.0,-12.463848705726559,true,4000,25,0.00625,0.6373475433725693,2.230162838812043,6.5944464426265945,194.98195361357566,0.08237934656445503,11.31370849898476
per-row,2,"[150,270)",grid,8.0,0.5,4.0,-1.4761487458845783,true,4000,2276,0.569,0.6015859723831967,2.3045369187940863,6.609731517844167,396.686798058547,0.09741950830657171,4.0
per-row,2,"[150,270)",grid,8.0,2.0,16.0,-16.961403615865127,true,4000,509,0.12725,0.5953382281787067,2.2923497871352576,6.817746447841178,800.0964869484899,0.2161697311503175,11.31370849898476
per-row,2,"[150,270)",grid,8.0,8.0,64.0,-239.0673617094778,true,4000,41,0.01025,0.6265294513664441,2.343544988725706,8.49917926374394,800.0964869484899,0.3704023496407702,45.25483399593904
per-row,3,"[300,420)",grid,0.5,0.5,0.25,0.12093995358278098,false,4000,2341,0.58525,0.6461676379676149,2.267155071611325,5.552004510309909,17.364903657467107,0.006065777663567881,0.25
per-row,3,"[300,420)",grid,0.5,2.0,1.0,0.1859150820793538,false,4000,479,0.11975,0.683875151082278,2.2112971526251255,5.358605162968682,47.64105919467907,0.013407539001417864,0.7071067811865475
per-row,3,"[300,420)",grid,0.5,8.0,4.0,-0.8724130338493228,false,4000,10,0.0025,0.7091387570629764,2.124089458471405,5.252387896619668,50.31620806564156,0.01860948616857442,2.82842712474619
per-row,3,"[300,420)",grid,2.0,0.5,1.0,0.07741010285569994,false,4000,2299,0.57475,0.623740818513416,2.3329255662862107,6.0011712126366845,108.193370269103,0.024532873995743498,1.0
per-row,3,"[300,420)",grid,2.0,2.0,4.0,-0.8819945299947389,false,4000,492,0.123,0.6697105751022738,2.2257400949104844,5.671225604722192,229.29799241795092,0.05449569814647542,2.82842712474619
per-row,3,"[300,420)",grid,2.0,8.0,16.0,-18.41775559576416,true,4000,23,0.00575,0.6833155353397948,2.1838242486010477,6.472377982059857,229.29799241795092,0.0862509657161371,11.31370849898476
per-row,3,"[300,420)",grid,8.0,0.5,4.0,-2.2734051057416504,true,4000,2283,0.57075,0.6118399440338153,2.289396605512037,6.5481962787565235,471.50723671564674,0.09636918883567563,4.0
per-row,3,"[300,420)",grid,8.0,2.0,16.0,-21.263529471598705,true,4000,478,0.1195,0.6086097989804211,2.216450872718218,7.699368564200302,955.925725311038,0.21871581575108662,11.31370849898476
per-row,3,"[300,420)",grid,8.0,8.0,64.0,-289.55025436533026,true,4000,38,0.0095,0.6634032430268175,2.2552499929132432,7.445119006111098,955.925725311038,0.38104118504254186,45.25483399593904
per-step,1,"[0,120)",grid,0.5,0.5,0.25,0.39386989512427506,false,500,207,0.414,0.4274174024406189,1.0687993593011373,2.065697744998246,4.246177642976258,0.014976062075835258,0.25
per-step,1,"[0,120)",grid,0.5,2.0,1.0,0.42090713969535043,false,500,7,0.014,0.4348031979295238,0.9642070800932107,2.024707511184147,3.3790944985773645,0.01942612457802947,0.5
per-step,1,"[0,120)",grid,0.5,8.0,4.0,0.4219183549039558,false,500,0,0.0,0.4348031979295238,0.9925034268237592,2.0659575664417105,3.20976543968655,0.01963533714723392,0.5
per-step,1,"[0,120)",grid,2.0,0.5,1.0,0.41829284394224187,false,500,202,0.404,0.4112600032058691,1.0163522080221712,2.100997211457651,3.529930631475728,0.0594614441734537,1.0
per-step,1,"[0,120)",grid,2.0,2.0,4.0,-1.5125901077948631,true,500,17,0.034,0.39754860420800364,1.1784686369830029,2.8094847483570202,5.467258680776633,0.1071380876281363,2.7361719219364327
per-step,1,"[0,120)",grid,2.0,8.0,16.0,-10.830139748294917,true,500,5,0.01,0.4291056615812403,1.000019607491514,5.713794039862946,14.080744886984904,0.15225870145243506,3.716589068175188
per-step,1,"[0,120)",grid,8.0,0.5,4.0,-4.265800755319556,true,500,282,0.564,0.572729255535628,1.1868341955925874,3.2398074888802144,3.976913747763433,0.28890397504857646,4.0
