criterion,ray_M,P,M,lr,n_div,n_windows,any_div,frac_div
primary: crypto peak>1e3,0.25,0.5,0.25,2.0,0,10,false,0.0
primary: crypto peak>1e3,0.25,128.0,0.25,512.0,0,10,false,0.0
primary: crypto peak>1e3,0.5,0.5,0.5,1.0,0,10,false,0.0
primary: crypto peak>1e3,0.5,128.0,0.5,256.0,0,10,false,0.0
primary: crypto peak>1e3,1.0,0.5,1.0,0.5,0,10,false,0.0
primary: crypto peak>1e3,1.0,128.0,1.0,128.0,0,10,false,0.0
primary: crypto peak>1e3,2.0,0.5,2.0,0.25,0,10,false,0.0
primary: crypto peak>1e3,2.0,128.0,2.0,64.0,0,10,false,0.0
primary: crypto peak>1e3,4.0,0.5,4.0,0.125,0,10,false,0.0
primary: crypto peak>1e3,4.0,128.0,4.0,32.0,0,10,false,0.0
primary: crypto peak>1e3,8.0,0.5,8.0,0.0625,0,10,false,0.0
primary: crypto peak>1e3,8.0,128.0,8.0,16.0,0,10,false,0.0
primary: crypto peak>1e3,16.0,0.5,16.0,0.03125,0,10,false,0.0
primary: crypto peak>1e3,16.0,128.0,16.0,8.0,0,10,false,0.0
primary: crypto peak>1e3,32.0,0.5,32.0,0.015625,0,10,false,0.0
primary: crypto peak>1e3,32.0,128.0,32.0,4.0,0,10,false,0.0
secondary: Jane _diverged,0.25,0.5,0.25,2.0,0,10,false,0.0
secondary: Jane _diverged,0.25,128.0,0.25,512.0,10,10,true,1.0
secondary: Jane _diverged,0.25,8.0,0.25,32.0,1,10,true,0.1
secondary: Jane _diverged,0.25,2.0,0.25,8.0,0,10,false,0.0
secondary: Jane _diverged,0.25,4.0,0.25,16.0,0,10,false,0.0
secondary: Jane _diverged,0.25,5.656854249492381,0.25,22.627416997969522,0,10,false,0.0
secondary: Jane _diverged,0.25,6.727171322029717,0.25,26.908685288118868,1,10,true,0.1
secondary: Jane _diverged,0.25,6.168843301631764,0.25,24.675373206527055,0,10,false,0.0
secondary: Jane _diverged,0.25,6.441961327797018,0.25,25.767845311188072,0,10,false,0.0
secondary: Jane _diverged,0.25,6.583021912615861,0.25,26.332087650463443,0,10,false,0.0
secondary: Jane _diverged,0.25,6.654706321306946,0.25,26.618825285227786,1,10,true,0.1
secondary: Jane _diverged,0.25,6.618767070624778,0.25,26.475068282499112,1,10,true,0.1
secondary: Jane _diverged,0.5,0.5,0.5,1.0,0,10,false,0.0
secondary: Jane _diverged,0.5,128.0,0.5,256.0,10,10,true,1.0
secondary: Jane _diverged,0.5,8.0,0.5,16.0,1,10,true,0.1
secondary: Jane _diverged,0.5,2.0,0.5,4.0,0,10,false,0.0
secondary: Jane _diverged,0.5,4.0,0.5,8.0,0,10,false,0.0
