criterion,ray_M,P,M,lr,n_div,n_windows,any_div,frac_div
primary: crypto peak>1e3,0.5,0.5,0.5,1.0,0,3,false,0.0
primary: crypto peak>1e3,0.5,128.0,0.5,256.0,1,3,true,0.3333333333333333
primary: crypto peak>1e3,0.5,8.0,0.5,16.0,0,3,false,0.0
primary: crypto peak>1e3,0.5,32.0,0.5,64.0,0,3,false,0.0
primary: crypto peak>1e3,0.5,64.0,0.5,128.0,0,3,false,0.0
primary: crypto peak>1e3,4.0,0.5,4.0,0.125,0,3,false,0.0
primary: crypto peak>1e3,4.0,128.0,4.0,32.0,0,3,false,0.0
primary: crypto peak>1e3,32.0,0.5,32.0,0.015625,0,3,false,0.0
primary: crypto peak>1e3,32.0,128.0,32.0,4.0,0,3,false,0.0
secondary: Jane _diverged,0.5,0.5,0.5,1.0,0,3,false,0.0
secondary: Jane _diverged,0.5,128.0,0.5,256.0,3,3,true,1.0
secondary: Jane _diverged,0.5,8.0,0.5,16.0,3,3,true,1.0
secondary: Jane _diverged,0.5,2.0,0.5,4.0,0,3,false,0.0
secondary: Jane _diverged,0.5,4.0,0.5,8.0,1,3,true,0.3333333333333333
secondary: Jane _diverged,4.0,0.5,4.0,0.125,0,3,false,0.0
secondary: Jane _diverged,4.0,128.0,4.0,32.0,3,3,true,1.0
secondary: Jane _diverged,4.0,8.0,4.0,2.0,0,3,false,0.0
secondary: Jane _diverged,4.0,32.0,4.0,8.0,3,3,true,1.0
secondary: Jane _diverged,4.0,16.0,4.0,4.0,2,3,true,0.6666666666666666
secondary: Jane _diverged,32.0,0.5,32.0,0.015625,0,3,false,0.0
secondary: Jane _diverged,32.0,128.0,32.0,4.0,2,3,true,0.6666666666666666
secondary: Jane _diverged,32.0,8.0,32.0,0.25,0,3,false,0.0
secondary: Jane _diverged,32.0,32.0,32.0,1.0,2,3,true,0.6666666666666666
secondary: Jane _diverged,32.0,16.0,32.0,0.5,0,3,false,0.0
