protocol,ray_M,P,M,lr,n_div,n_windows,any_div,frac_div,mean_r2
per-row,0.5,6.0,0.5,12.0,0,10,false,0.0,0.11617381039962445
per-row,0.5,24.0,0.5,48.0,10,10,true,1.0,-2.7422351708213766
per-row,0.5,12.0,0.5,24.0,7,10,true,0.7,-0.43637197224052987
per-row,0.5,8.48528137423857,0.5,16.97056274847714,0,10,false,0.0,-0.056437174718223945
per-row,0.5,10.090756983044574,0.5,20.18151396608915,1,10,true,0.1,-0.2075922262763127
per-row,0.5,9.253264952447644,0.5,18.506529904895288,1,10,true,0.1,-0.12315757958623899
per-row,0.5,8.860956875636996,0.5,17.72191375127399,1,10,true,0.1,-0.08769277111886488
per-row,1.0,6.0,1.0,6.0,0,10,false,0.0,0.15578618397512184
per-row,1.0,24.0,1.0,24.0,10,10,true,1.0,-2.408561154729912
per-row,1.0,12.0,1.0,12.0,6,10,true,0.6,-0.3260600191220743
per-row,1.0,8.48528137423857,1.0,8.48528137423857,0,10,false,0.0,0.006082778139624712
per-row,1.0,10.090756983044574,1.0,10.090756983044574,1,10,true,0.1,-0.12434159414544074
per-row,1.0,9.253264952447644,1.0,9.253264952447644,1,10,true,0.1,-0.052970009064733016
per-row,1.0,8.860956875636996,1.0,8.860956875636996,0,10,false,0.0,-0.02228595934822166
per-row,2.0,6.0,2.0,3.0,0,10,false,0.0,0.23586070495631195
per-row,2.0,24.0,2.0,12.0,10,10,true,1.0,-1.1654028214627092
per-row,2.0,12.0,2.0,6.0,0,10,false,0.0,0.013392621248077352
per-row,2.0,16.97056274847714,2.0,8.48528137423857,7,10,true,0.7,-0.353476700852997
per-row,2.0,14.270485380032653,2.0,7.135242690016327,3,10,true,0.3,-0.13453562359255317
per-row,2.0,13.086092791983091,2.0,6.543046395991546,1,10,true,0.1,-0.054263585773015835
per-row,2.0,12.531285389128966,2.0,6.265642694564483,0,10,false,0.0,-0.01860197228431514
per-row,4.0,6.0,4.0,1.5,0,10,false,0.0,0.23017777938738596
per-row,4.0,24.0,4.0,6.0,10,10,true,1.0,-0.819080582770696
per-row,4.0,12.0,4.0,3.0,0,10,false,0.0,0.06877971000292309
per-row,4.0,16.97056274847714,4.0,4.242640687119285,4,10,true,0.4,-0.21276045787407885
per-row,4.0,14.270485380032653,4.0,3.5676213450081633,0,10,false,0.0,-0.0436320687541301
per-row,4.0,15.562074655812117,4.0,3.890518663953029,2,10,true,0.2,-0.11966756797780924
per-row,4.0,14.902293744881808,4.0,3.725573436220452,2,10,true,0.2,-0.07989880262206
per-row,8.0,6.0,8.0,0.75,0,10,false,0.0,0.16582819148864236
per-row,8.0,24.0,8.0,3.0,10,10,true,1.0,-0.7969751679671904
per-row,8.0,12.0,8.0,1.5,0,10,false,0.0,0.02001575222393185
per-row,8.0,16.97056274847714,8.0,2.1213203435596424,5,10,true,0.5,-0.25846558972663924
per-row,8.0,14.270485380032653,8.0,1.7838106725040817,1,10,true,0.1,-0.09406211030689066
per-row,8.0,13.086092791983091,8.0,1.6357615989978864,0,10,false,0.0,-0.025156166762176014
per-row,8.0,13.6654636170803,8.0,1.7081829521350376,1,10,true,0.1,-0.06155783106893396
per-row,16.0,6.0,16.0,0.375,0,10,false,0.0,0.06965001582027071
per-row,16.0,24.0,16.0,1.5,10,10,true,1.0,-1.3196730406930102
per-row,16.0,12.0,16.0,0.75,1,10,true,0.1,-0.14367957966578113
per-row,16.0,8.48528137423857,16.0,0.5303300858899106,0,10,false,0.0,0.015479890144783815
per-row,16.0,10.090756983044574,16.0,0.6306723114402859,0,10,false,0.0,-0.045470619738977744
per-row,16.0,11.004048518456054,16.0,0.6877530324035034,0,10,false,0.0,-0.08874384305342733
per-row,16.0,11.491239368382884,16.0,0.7182024605239302,0,10,false,0.0,-0.11526116275070616
per-step,0.5,6.0,0.5,12.0,0,10,false,0.0,-0.024235661949672093
per-step,0.5,24.0,0.5,48.0,10,10,true,1.0,-7.413843640680736
per-step,0.5,12.0,0.5,24.0,9,10,true,0.9,-1.462379235800969
per-step,0.5,8.48528137423857,0.5,16.97056274847714,4,10,true,0.4,-0.49468612281208557
per-step,0.5,7.135242690016327,0.5,14.270485380032653,0,10,false,0.0,-0.21545290114519638
per-step,0.5,7.781037327906058,0.5,15.562074655812117,4,10,true,0.4,-0.3415607212563052
per-step,0.5,7.451146872440904,0.5,14.902293744881808,2,10,true,0.2,-0.27651104254550773
per-step,1.0,6.0,1.0,6.0,0,10,false,0.0,0.0567377569227155
per-step,1.0,24.0,1.0,24.0,10,10,true,1.0,-6.064977200269487
per-step,1.0,12.0,1.0,12.0,9,10,true,0.9,-1.1027534159795702
per-step,1.0,8.48528137423857,1.0,8.48528137423857,2,10,true,0.2,-0.32240566871127563
per-step,1.0,7.135242690016327,1.0,7.135242690016327,0,10,false,0.0,-0.09928018145746255
per-step,1.0,7.781037327906058,1.0,7.781037327906058,2,10,true,0.2,-0.20004291443097508
per-step,1.0,7.451146872440904,1.0,7.451146872440904,1,10,true,0.1,-0.14651405108567012
per-step,2.0,6.0,2.0,3.0,0,10,false,0.0,0.1745995858510891
per-step,2.0,24.0,2.0,12.0,10,10,true,1.0,-3.8529380752971543
per-step,2.0,12.0,2.0,6.0,6,10,true,0.6,-0.5604120379017428
per-step,2.0,8.48528137423857,2.0,4.242640687119285,1,10,true,0.1,-0.042056678954044316
per-step,2.0,7.135242690016327,2.0,3.5676213450081633,0,10,false,0.0,0.08882765392730732
per-step,2.0,7.781037327906058,2.0,3.890518663953029,0,10,false,0.0,0.029401935024172023
per-step,2.0,8.125533281621356,2.0,4.062766640810678,0,10,false,0.0,-0.004665199788139685
per-step,4.0,6.0,4.0,1.5,0,10,false,0.0,0.24132325965463636
per-step,4.0,24.0,4.0,6.0,10,10,true,1.0,-2.5169809694181495
per-step,4.0,12.0,4.0,3.0,2,10,true,0.2,-0.17766364283743016
per-step,4.0,8.48528137423857,4.0,2.1213203435596424,0,10,false,0.0,0.14931515139257176
per-step,4.0,10.090756983044574,4.0,2.5226892457611436,1,10,true,0.1,0.036161666269908445
per-step,4.0,9.253264952447644,4.0,2.313316238111911,0,10,false,0.0,0.10213758989961619
per-step,4.0,9.662941991695526,4.0,2.4157354979238814,1,10,true,0.1,0.07435862628496988
per-step,8.0,6.0,8.0,0.75,0,10,false,0.0,0.21227383411460674
per-step,8.0,24.0,8.0,3.0,7,10,true,0.7,-1.0218205055306633
per-step,8.0,12.0,8.0,1.5,0,10,false,0.0,0.16193364040103786
per-step,8.0,16.97056274847714,8.0,2.1213203435596424,1,10,true,0.1,-0.13301967028508943
per-step,8.0,14.270485380032653,8.0,1.7838106725040817,1,10,true,0.1,0.06614310063598587
per-step,8.0,13.086092791983091,8.0,1.6357615989978864,1,10,true,0.1,0.11761501105443836
per-step,8.0,12.531285389128966,8.0,1.5664106736411207,1,10,true,0.1,0.14065418624345255
per-step,16.0,6.0,16.0,0.375,0,10,false,0.0,0.14662571533508179
per-step,16.0,24.0,16.0,1.5,1,10,true,0.1,-0.07321015303589004
per-step,16.0,12.0,16.0,0.75,0,10,false,0.0,0.2018678251886339
per-step,16.0,16.97056274847714,16.0,1.0606601717798212,0,10,false,0.0,0.15295244636549615
per-step,16.0,20.18151396608915,16.0,1.2613446228805718,1,10,true,0.1,0.0689699169271364
per-step,16.0,18.506529904895288,16.0,1.1566581190559555,1,10,true,0.1,0.11565649812507708
per-step,16.0,17.72191375127399,16.0,1.1076196094546245,1,10,true,0.1,0.13441316187793817
