protocol,ray_M,P,M,lr,n_div,n_windows,any_div,frac_div,mean_r2
per-row,0.5,6.0,0.5,12.0,3,3,true,1.0,-6.126939392011917
per-row,0.5,24.0,0.5,48.0,3,3,true,1.0,-109.09519986232335
per-row,4.0,6.0,4.0,1.5,3,3,true,1.0,-1.8479407287939962
per-row,4.0,24.0,4.0,6.0,3,3,true,1.0,-42.678053809891736
per-row,16.0,6.0,16.0,0.375,2,3,true,0.6666666666666666,-1.779461433030704
per-row,16.0,24.0,16.0,1.5,3,3,true,1.0,-57.16201883252768
per-step,0.5,6.0,0.5,12.0,3,3,true,1.0,-7.035379041437131
per-step,0.5,24.0,0.5,48.0,3,3,true,1.0,-128.66271163268354
per-step,4.0,6.0,4.0,1.5,0,3,false,0.0,-0.5180315923928771
per-step,4.0,24.0,4.0,6.0,3,3,true,1.0,-67.63320389382928
per-step,4.0,12.0,4.0,3.0,3,3,true,1.0,-10.106777540154859
per-step,4.0,8.48528137423857,4.0,2.1213203435596424,2,3,true,0.6666666666666666,-3.2915046599222073
per-step,16.0,6.0,16.0,0.375,0,3,false,0.0,0.2470762139223837
per-step,16.0,24.0,16.0,1.5,2,3,true,0.6666666666666666,-3.2070638902838824
per-step,16.0,12.0,16.0,0.75,0,3,false,0.0,0.30245545829995485
per-step,16.0,16.97056274847714,16.0,1.0606601717798212,0,3,false,0.0,-0.032388298420036286
