tail_p,criterion,ray_M,P,M,lr,n_div,any_div,frac_div
1.3,state,0.25,0.5,0.25,2.0,0,false,0.0
1.3,state,0.25,128.0,0.25,512.0,0,false,0.0
1.3,state,0.5,0.5,0.5,1.0,0,false,0.0
1.3,state,0.5,128.0,0.5,256.0,0,false,0.0
1.3,state,1.0,0.5,1.0,0.5,0,false,0.0
1.3,state,1.0,128.0,1.0,128.0,0,false,0.0
1.3,state,2.0,0.5,2.0,0.25,0,false,0.0
1.3,state,2.0,128.0,2.0,64.0,0,false,0.0
1.3,state,4.0,0.5,4.0,0.125,0,false,0.0
1.3,state,4.0,128.0,4.0,32.0,0,false,0.0
1.3,state,8.0,0.5,8.0,0.0625,0,false,0.0
1.3,state,8.0,128.0,8.0,16.0,0,false,0.0
1.3,state,16.0,0.5,16.0,0.03125,0,false,0.0
1.3,state,16.0,128.0,16.0,8.0,0,false,0.0
1.3,state,32.0,0.5,32.0,0.015625,0,false,0.0
1.3,state,32.0,128.0,32.0,4.0,0,false,0.0
1.3,jane,0.25,0.5,0.25,2.0,10,true,1.0
1.3,jane,0.25,128.0,0.25,512.0,10,true,1.0
1.3,jane,0.5,0.5,0.5,1.0,10,true,1.0
1.3,jane,0.5,128.0,0.5,256.0,10,true,1.0
1.3,jane,1.0,0.5,1.0,0.5,10,true,1.0
1.3,jane,1.0,128.0,1.0,128.0,10,true,1.0
1.3,jane,2.0,0.5,2.0,0.25,10,true,1.0
1.3,jane,2.0,128.0,2.0,64.0,10,true,1.0
1.3,jane,4.0,0.5,4.0,0.125,10,true,1.0
1.3,jane,4.0,128.0,4.0,32.0,10,true,1.0
1.3,jane,8.0,0.5,8.0,0.0625,10,true,1.0
1.3,jane,8.0,128.0,8.0,16.0,10,true,1.0
1.3,jane,16.0,0.5,16.0,0.03125,10,true,1.0
1.3,jane,16.0,128.0,16.0,8.0,10,true,1.0
1.3,jane,32.0,0.5,32.0,0.015625,10,true,1.0
1.3,jane,32.0,128.0,32.0,4.0,10,true,1.0
1.5,state,0.25,0.5,0.25,2.0,0,false,0.0
1.5,state,0.25,128.0,0.25,512.0,0,false,0.0
1.5,state,0.5,0.5,0.5,1.0,0,false,0.0
1.5,state,0.5,128.0,0.5,256.0,0,false,0.0
1.5,state,1.0,0.5,1.0,0.5,0,false,0.0
1.5,state,1.0,128.0,1.0,128.0,0,false,0.0
1.5,state,2.0,0.5,2.0,0.25,0,false,0.0
1.5,state,2.0,128.0,2.0,64.0,0,false,0.0
1.5,state,4.0,0.5,4.0,0.125,0,false,0.0
1.5,state,4.0,128.0,4.0,32.0,0,false,0.0
1.5,state,8.0,0.5,8.0,0.0625,0,false,0.0
1.5,state,8.0,128.0,8.0,16.0,0,false,0.0
1.5,state,16.0,0.5,16.0,0.03125,0,false,0.0
