tail_p,criterion,ray_M,P,M,lr,n_div,any_div,frac_div
1.5,state,0.5,0.5,0.5,1.0,0,false,0.0
1.5,state,0.5,128.0,0.5,256.0,0,false,0.0
1.5,state,4.0,0.5,4.0,0.125,0,false,0.0
1.5,state,4.0,128.0,4.0,32.0,0,false,0.0
1.5,state,32.0,0.5,32.0,0.015625,0,false,0.0
1.5,state,32.0,128.0,32.0,4.0,0,false,0.0
1.5,jane,0.5,0.5,0.5,1.0,2,true,0.6666666666666666
1.5,jane,0.5,128.0,0.5,256.0,3,true,1.0
1.5,jane,4.0,0.5,4.0,0.125,2,true,0.6666666666666666
1.5,jane,4.0,128.0,4.0,32.0,3,true,1.0
1.5,jane,32.0,0.5,32.0,0.015625,2,true,0.6666666666666666
1.5,jane,32.0,128.0,32.0,4.0,2,true,0.6666666666666666
