protocol,method,setting,n_configs,mean,std,min,max,n_diverged,n_diverged_rel,heldout_mean,heldout_std,window1
per-row,OGD,lr=0.001,5,0.0009869999999999979,0.04339852174901814,-0.11224,0.04067,0,0,-0.0009522222222222233,0.045569223105561545,0.01844
per-row,Normalized-GD,lr=3,10,0.178699,0.028645492354334254,0.14251,0.2205,0,0,0.17405444444444443,0.026085454333359383,0.2205
per-row,Scale-adaptive OGD,lr=0.5,10,-298909.02913,846736.0972429746,-2694631.17826,0.20995,7,6,-332121.1611822222,891163.8493409542,0.15934
per-row,SN-OMD (M tuned),"lr=3,M=2",70,0.23586100000000002,0.04711912903599886,0.16932,0.31517,0,0,0.22704888888888894,0.04030061055506617,0.31517
per-row,fixed-tau clip,"lr=0.2,tau=20",70,0.206433,0.0311411774736352,0.15674,0.24634,0,0,0.2019988888888889,0.02949244752663148,0.24634
per-row,AdaGrad-Norm,lr=3,8,0.198015,0.07060074979929194,0.07366,0.32859,0,0,0.18350666666666665,0.0569165360418218,0.32859
per-step,OGD,lr=0.005,5,-3.5491190040737275e+101,1.1223299739861395e+102,-3.549119004073727e+102,0.1392,9,9,-3.9434655600819193e+101,1.1830396680245757e+102,0.1392
per-step,Normalized-GD,lr=5,10,0.09411200000000002,0.20790252084410457,-0.20241,0.3712,0,0,0.06332444444444446,0.1948404801440855,0.3712
per-step,Scale-adaptive OGD,lr=0.2,10,0.09502700000000001,0.01793853645089253,0.07518,0.12351,0,0,0.09665,0.01823131989187837,0.08042
per-step,SN-OMD (M tuned),"lr=8,M=0.5",70,0.21376099999999995,0.12289582313216886,0.05294,0.38369,0,0,0.19488000000000003,0.11393317975901489,0.38369
per-step,fixed-tau clip,"lr=0.2,tau=20",70,0.20156100000000002,0.131209354294747,0.01966,0.38208,0,0,0.18150333333333335,0.12182731251652891,0.38208
per-step,AdaGrad-Norm,lr=1,8,0.18821000000000002,0.029033904701610876,0.13421,0.22308,0,0,0.18479999999999996,0.02859234950122148,0.2189
