protocol,method,setting,n_configs,mean,std,min,max,n_diverged,n_diverged_rel,heldout_mean,heldout_std,window1
per-row,OGD,lr=0.002,2,-0.015546666666666665,0.11861304073892269,-0.15152,0.06667,0,0,0.05244,0.020124258992569137,-0.15152
per-row,Normalized-GD,lr=0.5,3,0.23896666666666666,0.13593035434859035,0.1234,0.38873,0,0,0.164085,0.05753727878514938,0.38873
per-row,Scale-adaptive OGD,lr=0.1,3,0.19516333333333336,0.11044788469379271,0.09381,0.31288,0,0,0.136305,0.060097005333044656,0.31288
per-row,SN-OMD (M tuned),"lr=0.5,M=2",6,0.31461666666666666,0.13162683857531995,0.18592,0.44899,0,0,0.24742999999999998,0.08698827622156907,0.44899
per-row,fixed-tau clip,"lr=0.1,tau=5",6,0.25973666666666667,0.14608596692815273,0.14185,0.42317,0,0,0.17802,0.05115210455103484,0.42317
per-row,AdaGrad-Norm,lr=0.3,2,0.23778,0.08157785790274219,0.16886,0.32785,0,0,0.192745,0.03377849093728136,0.32785
per-step,OGD,lr=0.002,2,0.14665666666666669,0.035976815219434494,0.11934,0.18742,0,0,0.16031499999999999,0.03833225860812275,0.11934
per-step,Normalized-GD,lr=0.5,3,0.4034233333333333,0.09854044973173877,0.30429,0.50136,0,0,0.35445499999999996,0.0709440233564463,0.50136
per-step,Scale-adaptive OGD,lr=0.5,3,0.2799566666666667,0.12450032784428054,0.18935,0.42192,0,0,0.208975,0.027753941161571996,0.42192
per-step,SN-OMD (M tuned),"lr=0.5,M=10",6,0.2799566666666667,0.12450032784428054,0.18935,0.42192,0,0,0.208975,0.027753941161571996,0.42192
per-step,fixed-tau clip,"lr=0.1,tau=5",6,0.4034233333333333,0.09854044973173877,0.30429,0.50136,0,0,0.35445499999999996,0.0709440233564463,0.50136
per-step,AdaGrad-Norm,lr=0.3,2,0.29089,0.08702688722458135,0.22483,0.3895,0,0,0.241585,0.023695148237561216,0.3895
