protocol,arm,window_idx,lr,M,weighted_r2,diverged,diverged_rel
per-row,matched,1,3.0,10.0,0.42549,false,false
per-row,matched,2,3.0,10.0,0.35927,false,false
per-row,matched,3,3.0,10.0,0.33521,false,false
per-row,matched,4,3.0,10.0,0.32219,false,false
per-row,matched,5,3.0,10.0,0.27887,false,false
per-row,matched,6,3.0,10.0,0.23045,false,false
per-row,matched,7,3.0,10.0,0.19037,false,false
per-row,matched,8,3.0,10.0,0.16867,false,false
per-row,matched,9,3.0,10.0,0.31876,false,false
per-row,matched,10,3.0,10.0,0.18768,false,false
per-row,published,1,3.0,5.0,0.40667,false,false
per-row,published,2,3.0,5.0,0.35284,false,false
per-row,published,3,3.0,5.0,0.33518,false,false
per-row,published,4,3.0,5.0,0.32699,false,false
per-row,published,5,3.0,5.0,0.28418,false,false
per-row,published,6,3.0,5.0,0.24982,false,false
per-row,published,7,3.0,5.0,0.21729,false,false
per-row,published,8,3.0,5.0,0.1991,false,false
per-row,published,9,3.0,5.0,0.31778,false,false
per-row,published,10,3.0,5.0,0.22337,false,false
per-step,matched,1,3.0,2.0,0.39829,false,false
per-step,matched,2,3.0,2.0,0.35023,false,false
per-step,matched,3,3.0,2.0,0.31371,false,false
per-step,matched,4,3.0,2.0,0.32259,false,false
per-step,matched,5,3.0,2.0,0.23935,false,false
per-step,matched,6,3.0,2.0,0.1727,false,false
per-step,matched,7,3.0,2.0,0.10191,false,false
per-step,matched,8,3.0,2.0,0.09521,false,false
per-step,matched,9,3.0,2.0,0.28652,false,false
per-step,matched,10,3.0,2.0,0.13924,false,false
per-step,published,1,2.0,5.0,0.35112,false,false
per-step,published,2,2.0,5.0,0.31078,false,false
per-step,published,3,2.0,5.0,0.28713,false,false
per-step,published,4,2.0,5.0,0.30838,false,false
per-step,published,5,2.0,5.0,0.21833,false,false
per-step,published,6,2.0,5.0,0.12955,false,false
per-step,published,7,2.0,5.0,0.02157,false,false
per-step,published,8,2.0,5.0,0.0069,false,false
per-step,published,9,2.0,5.0,0.2688,false,false
per-step,published,10,2.0,5.0,0.10943,false,false
