window_idx,window,tracker,lr,M,weighted_r2
1,"[0,120)",EMA,2.0,1.0,0.21331
1,"[0,120)",EMA,2.0,2.0,0.28581
1,"[0,120)",EMA,2.0,3.0,0.31055
1,"[0,120)",EMA,2.0,5.0,0.28447
1,"[0,120)",EMA,2.0,7.0,0.19202
1,"[0,120)",EMA,2.0,10.0,-0.07606
1,"[0,120)",EMA,2.0,15.0,-1.03023
1,"[0,120)",EMA,2.0,1000000000.0,-63.35339
1,"[0,120)",block-median,3.0,1.0,0.22998
1,"[0,120)",block-median,3.0,2.0,0.31319
1,"[0,120)",block-median,3.0,3.0,0.36136
1,"[0,120)",block-median,3.0,5.0,0.40667
1,"[0,120)",block-median,3.0,7.0,0.42306
1,"[0,120)",block-median,3.0,10.0,0.42549
1,"[0,120)",block-median,3.0,15.0,0.407
1,"[0,120)",block-median,3.0,1000000000.0,-85030878244942.81
2,"[150,270)",EMA,2.0,1.0,0.1915
2,"[150,270)",EMA,2.0,2.0,0.25049
2,"[150,270)",EMA,2.0,3.0,0.25887
2,"[150,270)",EMA,2.0,5.0,0.20282
2,"[150,270)",EMA,2.0,7.0,0.08668
2,"[150,270)",EMA,2.0,10.0,-0.19384
2,"[150,270)",EMA,2.0,15.0,-1.01931
2,"[150,270)",EMA,2.0,1000000000.0,-429030221741.2687
2,"[150,270)",block-median,3.0,1.0,0.20717
2,"[150,270)",block-median,3.0,2.0,0.28508
2,"[150,270)",block-median,3.0,3.0,0.32288
2,"[150,270)",block-median,3.0,5.0,0.35284
2,"[150,270)",block-median,3.0,7.0,0.36015
2,"[150,270)",block-median,3.0,10.0,0.35927
2,"[150,270)",block-median,3.0,15.0,0.35192
2,"[150,270)",block-median,3.0,1000000000.0,-564.68622
3,"[300,420)",EMA,2.0,1.0,0.19519
3,"[300,420)",EMA,2.0,2.0,0.25313
3,"[300,420)",EMA,2.0,3.0,0.2513
3,"[300,420)",EMA,2.0,5.0,0.14226
3,"[300,420)",EMA,2.0,7.0,-0.07934
3,"[300,420)",EMA,2.0,10.0,-0.69576
3,"[300,420)",EMA,2.0,15.0,-2.94989
3,"[300,420)",EMA,2.0,1000000000.0,-96658560660799.84
3,"[300,420)",block-median,3.0,1.0,0.1831
3,"[300,420)",block-median,3.0,2.0,0.26363
3,"[300,420)",block-median,3.0,3.0,0.3052
3,"[300,420)",block-median,3.0,5.0,0.33518
3,"[300,420)",block-median,3.0,7.0,0.34019
3,"[300,420)",block-median,3.0,10.0,0.33521
3,"[300,420)",block-median,3.0,15.0,0.32115
3,"[300,420)",block-median,3.0,1000000000.0,-867088379.63417
4,"[450,570)",EMA,2.0,1.0,0.21363
4,"[450,570)",EMA,2.0,2.0,0.26339
4,"[450,570)",EMA,2.0,3.0,0.26384
4,"[450,570)",EMA,2.0,5.0,0.1967
4,"[450,570)",EMA,2.0,7.0,0.06895
4,"[450,570)",EMA,2.0,10.0,-0.23188
4,"[450,570)",EMA,2.0,15.0,-1.09346
4,"[450,570)",EMA,2.0,1000000000.0,-7099982.25387
4,"[450,570)",block-median,3.0,1.0,0.21985
4,"[450,570)",block-median,3.0,2.0,0.2823
4,"[450,570)",block-median,3.0,3.0,0.30874
4,"[450,570)",block-median,3.0,5.0,0.32699
4,"[450,570)",block-median,3.0,7.0,0.32747
4,"[450,570)",block-median,3.0,10.0,0.32219
4,"[450,570)",block-median,3.0,15.0,0.31106
4,"[450,570)",block-median,3.0,1000000000.0,-2410.8403
5,"[600,720)",EMA,2.0,1.0,0.20863
5,"[600,720)",EMA,2.0,2.0,0.24524
5,"[600,720)",EMA,2.0,3.0,0.23328
5,"[600,720)",EMA,2.0,5.0,0.14619
5,"[600,720)",EMA,2.0,7.0,-0.01653
5,"[600,720)",EMA,2.0,10.0,-0.42331
5,"[600,720)",EMA,2.0,15.0,-1.71643
5,"[600,720)",EMA,2.0,1000000000.0,-538.59756
5,"[600,720)",block-median,3.0,1.0,0.19841
5,"[600,720)",block-median,3.0,2.0,0.24822
5,"[600,720)",block-median,3.0,3.0,0.2704
5,"[600,720)",block-median,3.0,5.0,0.28418
5,"[600,720)",block-median,3.0,7.0,0.28399
5,"[600,720)",block-median,3.0,10.0,0.27887
5,"[600,720)",block-median,3.0,15.0,0.27105
5,"[600,720)",block-median,3.0,1000000000.0,0.25114
6,"[750,870)",EMA,2.0,1.0,0.21639
6,"[750,870)",EMA,2.0,2.0,0.2408
6,"[750,870)",EMA,2.0,3.0,0.23327
6,"[750,870)",EMA,2.0,5.0,0.10577
6,"[750,870)",EMA,2.0,7.0,-0.14098
6,"[750,870)",EMA,2.0,10.0,-0.9253
6,"[750,870)",EMA,2.0,15.0,-3.33313
6,"[750,870)",EMA,2.0,1000000000.0,-291402058950.2653
6,"[750,870)",block-median,3.0,1.0,0.19246
6,"[750,870)",block-median,3.0,2.0,0.23176
6,"[750,870)",block-median,3.0,3.0,0.24594
6,"[750,870)",block-median,3.0,5.0,0.24982
6,"[750,870)",block-median,3.0,7.0,0.24345
6,"[750,870)",block-median,3.0,10.0,0.23045
6,"[750,870)",block-median,3.0,15.0,0.21372
6,"[750,870)",block-median,3.0,1000000000.0,-3681413163585.5166
7,"[900,1020)",EMA,2.0,1.0,0.23024
7,"[900,1020)",EMA,2.0,2.0,0.24219
7,"[900,1020)",EMA,2.0,3.0,0.16141
7,"[900,1020)",EMA,2.0,5.0,-0.10588
7,"[900,1020)",EMA,2.0,7.0,-0.56732
7,"[900,1020)",EMA,2.0,10.0,-1.71738
7,"[900,1020)",EMA,2.0,15.0,-5.38588
7,"[900,1020)",EMA,2.0,1000000000.0,-105067962594.16043
7,"[900,1020)",block-median,3.0,1.0,0.17431
7,"[900,1020)",block-median,3.0,2.0,0.20572
7,"[900,1020)",block-median,3.0,3.0,0.21595
7,"[900,1020)",block-median,3.0,5.0,0.21729
7,"[900,1020)",block-median,3.0,7.0,0.20769
7,"[900,1020)",block-median,3.0,10.0,0.19037
7,"[900,1020)",block-median,3.0,15.0,0.15717
7,"[900,1020)",block-median,3.0,1000000000.0,-1885388843.58527
8,"[1050,1170)",EMA,2.0,1.0,0.22105
8,"[1050,1170)",EMA,2.0,2.0,0.23712
8,"[1050,1170)",EMA,2.0,3.0,0.20371
8,"[1050,1170)",EMA,2.0,5.0,0.04371
8,"[1050,1170)",EMA,2.0,7.0,-0.25928
8,"[1050,1170)",EMA,2.0,10.0,-0.80323
8,"[1050,1170)",EMA,2.0,15.0,-2.62551
8,"[1050,1170)",EMA,2.0,1000000000.0,-951855.62712
8,"[1050,1170)",block-median,3.0,1.0,0.16749
8,"[1050,1170)",block-median,3.0,2.0,0.1993
8,"[1050,1170)",block-median,3.0,3.0,0.20496
8,"[1050,1170)",block-median,3.0,5.0,0.1991
8,"[1050,1170)",block-median,3.0,7.0,0.18759
8,"[1050,1170)",block-median,3.0,10.0,0.16867
8,"[1050,1170)",block-median,3.0,15.0,0.13842
8,"[1050,1170)",block-median,3.0,1000000000.0,-37262470309795.984
9,"[1200,1320)",EMA,2.0,1.0,0.22199
9,"[1200,1320)",EMA,2.0,2.0,0.26748
9,"[1200,1320)",EMA,2.0,3.0,0.27158
9,"[1200,1320)",EMA,2.0,5.0,0.22739
9,"[1200,1320)",EMA,2.0,7.0,0.13888
9,"[1200,1320)",EMA,2.0,10.0,-0.09153
9,"[1200,1320)",EMA,2.0,15.0,-0.87043
9,"[1200,1320)",EMA,2.0,1000000000.0,-913898934163053.2
9,"[1200,1320)",block-median,3.0,1.0,0.22795
9,"[1200,1320)",block-median,3.0,2.0,0.27918
9,"[1200,1320)",block-median,3.0,3.0,0.30182
9,"[1200,1320)",block-median,3.0,5.0,0.31778
9,"[1200,1320)",block-median,3.0,7.0,0.32014
9,"[1200,1320)",block-median,3.0,10.0,0.31876
9,"[1200,1320)",block-median,3.0,15.0,0.3166
9,"[1200,1320)",block-median,3.0,1000000000.0,0.31535
10,"[1350,1470)",EMA,2.0,1.0,0.19994
10,"[1350,1470)",EMA,2.0,2.0,0.2276
10,"[1350,1470)",EMA,2.0,3.0,0.2077
10,"[1350,1470)",EMA,2.0,5.0,0.15902
10,"[1350,1470)",EMA,2.0,7.0,0.06716
10,"[1350,1470)",EMA,2.0,10.0,-0.15862
10,"[1350,1470)",EMA,2.0,15.0,-0.84543
10,"[1350,1470)",EMA,2.0,1000000000.0,-56.80091
10,"[1350,1470)",block-median,3.0,1.0,0.16472
10,"[1350,1470)",block-median,3.0,2.0,0.20559
10,"[1350,1470)",block-median,3.0,3.0,0.22101
10,"[1350,1470)",block-median,3.0,5.0,0.22337
10,"[1350,1470)",block-median,3.0,7.0,0.21281
10,"[1350,1470)",block-median,3.0,10.0,0.18768
10,"[1350,1470)",block-median,3.0,15.0,0.14034
10,"[1350,1470)",block-median,3.0,1000000000.0,-967508749325349.2
