window_idx,window,protocol,config,weighted_r2,diverged
1,"[0,120)",per-row,normgd@lr2,0.19698,false
1,"[0,120)",per-row,normgd@lr3(Table2),0.2205,false
1,"[0,120)",per-row,"CM(t600,b0,lr2)",0.19698,false
1,"[0,120)",per-row,"CM(t600,b0.5,lr2)T2",0.36522,false
1,"[0,120)",per-step,normgd@lr5(Table2),0.3712,false
1,"[0,120)",per-step,"CM(t300,b0,lr5)T2",0.3712,false
2,"[150,270)",per-row,normgd@lr2,0.17313,false
2,"[150,270)",per-row,normgd@lr3(Table2),0.19288,false
2,"[150,270)",per-row,"CM(t600,b0,lr2)",0.17313,false
2,"[150,270)",per-row,"CM(t600,b0.5,lr2)T2",0.32479,false
2,"[150,270)",per-step,normgd@lr5(Table2),0.31905,false
2,"[150,270)",per-step,"CM(t300,b0,lr5)T2",0.31905,false
3,"[300,420)",per-row,normgd@lr2,0.15941,false
3,"[300,420)",per-row,normgd@lr3(Table2),0.16345,false
3,"[300,420)",per-row,"CM(t600,b0,lr2)",0.15941,false
3,"[300,420)",per-row,"CM(t600,b0.5,lr2)T2",0.30885,false
3,"[300,420)",per-step,normgd@lr5(Table2),0.1995,false
3,"[300,420)",per-step,"CM(t300,b0,lr5)T2",0.1995,false
4,"[450,570)",per-row,normgd@lr2,0.18885,false
4,"[450,570)",per-row,normgd@lr3(Table2),0.20322,false
4,"[450,570)",per-row,"CM(t600,b0,lr2)",0.18885,false
4,"[450,570)",per-row,"CM(t600,b0.5,lr2)T2",0.30961,false
4,"[450,570)",per-step,normgd@lr5(Table2),0.23934,false
4,"[450,570)",per-step,"CM(t300,b0,lr5)T2",0.23934,false
5,"[600,720)",per-row,normgd@lr2,0.18186,false
5,"[600,720)",per-row,normgd@lr3(Table2),0.18135,false
5,"[600,720)",per-row,"CM(t600,b0,lr2)",0.18186,false
5,"[600,720)",per-row,"CM(t600,b0.5,lr2)T2",0.27837,false
5,"[600,720)",per-step,normgd@lr5(Table2),0.10374,false
5,"[600,720)",per-step,"CM(t300,b0,lr5)T2",0.10374,false
6,"[750,870)",per-row,normgd@lr2,0.18483,false
6,"[750,870)",per-row,normgd@lr3(Table2),0.17263,false
6,"[750,870)",per-row,"CM(t600,b0,lr2)",0.18483,false
6,"[750,870)",per-row,"CM(t600,b0.5,lr2)T2",0.25981,false
6,"[750,870)",per-step,normgd@lr5(Table2),-0.01575,false
6,"[750,870)",per-step,"CM(t300,b0,lr5)T2",-0.01575,false
7,"[900,1020)",per-row,normgd@lr2,0.19412,false
7,"[900,1020)",per-row,normgd@lr3(Table2),0.15168,false
7,"[900,1020)",per-row,"CM(t600,b0,lr2)",0.19412,false
7,"[900,1020)",per-row,"CM(t600,b0.5,lr2)T2",0.24964,false
7,"[900,1020)",per-step,normgd@lr5(Table2),-0.20241,false
7,"[900,1020)",per-step,"CM(t300,b0,lr5)T2",-0.20241,false
8,"[1050,1170)",per-row,normgd@lr2,0.18352,false
8,"[1050,1170)",per-row,normgd@lr3(Table2),0.14251,false
8,"[1050,1170)",per-row,"CM(t600,b0,lr2)",0.18352,false
8,"[1050,1170)",per-row,"CM(t600,b0.5,lr2)T2",0.23096,false
8,"[1050,1170)",per-step,normgd@lr5(Table2),-0.19279,false
8,"[1050,1170)",per-step,"CM(t300,b0,lr5)T2",-0.19279,false
9,"[1200,1320)",per-row,normgd@lr2,0.20209,false
9,"[1200,1320)",per-row,normgd@lr3(Table2),0.21487,false
9,"[1200,1320)",per-row,"CM(t600,b0,lr2)",0.20209,false
9,"[1200,1320)",per-row,"CM(t600,b0.5,lr2)T2",0.30436,false
9,"[1200,1320)",per-step,normgd@lr5(Table2),0.20905,false
9,"[1200,1320)",per-step,"CM(t300,b0,lr5)T2",0.20905,false
10,"[1350,1470)",per-row,normgd@lr2,0.16101,false
10,"[1350,1470)",per-row,normgd@lr3(Table2),0.1439,false
10,"[1350,1470)",per-row,"CM(t600,b0,lr2)",0.16101,false
10,"[1350,1470)",per-row,"CM(t600,b0.5,lr2)T2",0.23936,false
10,"[1350,1470)",per-step,normgd@lr5(Table2),-0.08981,false
10,"[1350,1470)",per-step,"CM(t300,b0,lr5)T2",-0.08981,false
