learning_rate,method,weighted_r2,final_regret,peak_rolling_loss,diverged
0.002,ogd,-0.06542214105766297,35363.609283868194,18.27414845517499,false
0.002,adaptive_clip,0.027656628530177474,-2476.266397701957,5.014116577733404,false
0.002,robust_omd[catoni],0.029416085776966194,-3191.549203655736,5.001527795069294,false
0.002,robust_omd[median_of_means],0.029208027010479753,-3106.9658137681786,5.001444009107198,false
0.002,robust_omd[trimmed_mean],0.026749257190148867,-2107.38723378809,5.092664284485862,false
0.005,ogd,-442.1095945428147,179742257.06643978,80395.42023071597,true
0.005,adaptive_clip,0.04630959339096885,-10059.369124032231,4.9301938661141875,false
0.005,robust_omd[catoni],0.049689561235315205,-11433.447913471591,4.914476883200184,false
0.005,robust_omd[median_of_means],0.04958470228694012,-11390.818970392804,4.917954498700223,false
0.005,robust_omd[trimmed_mean],0.04464939088032727,-9384.436946833648,5.106211875409616,false
0.01,ogd,-98459.29886043738,40027263586.602165,18894450.529789396,true
0.01,adaptive_clip,0.07226459956137155,-20611.014909117,4.766245383949942,false
0.01,robust_omd[catoni],0.0777605558081591,-22845.31927358939,4.74485328800234,false
0.01,robust_omd[median_of_means],0.07805380008044704,-22964.53364284634,4.753252212355157,false
0.01,robust_omd[trimmed_mean],0.070284301000483,-19805.952146812062,5.016925206404892,false
0.02,ogd,-4867034.212329898,1978624891197.5076,970903950.4198643,true
0.02,adaptive_clip,0.1136191733509877,-37423.14014446901,4.581836698274431,false
0.02,robust_omd[catoni],0.0974809786953933,-30862.38217359526,5.993613602701338,false
0.02,robust_omd[median_of_means],0.12285023798136996,-41175.900731753536,4.542712068686805,false
0.02,robust_omd[trimmed_mean],0.11132083786424174,-36488.78390535991,4.90125204706376,false
0.03,ogd,-1347270434.2685065,547714005768819.75,269163708900.4099,true
0.03,adaptive_clip,0.1435023671300708,-49571.73581860642,4.424823360679809,false
0.03,robust_omd[catoni],0.07649327773750136,-22330.125047666163,16.886036563584693,false
0.03,robust_omd[median_of_means],0.15518392441530204,-54320.71001967968,4.347069869107339,false
0.03,robust_omd[trimmed_mean],0.14140435607520474,-48718.81868351553,4.779544236325044,false
