tracker,c_units_of_median,T,N,exponent,measurable,max_segments
winsorized EMA (deployed),0.5,10000,47,1.2332,true,1825
winsorized EMA (deployed),0.5,15000,78,1.2332,true,1825
winsorized EMA (deployed),0.5,20000,110,1.2332,true,1825
winsorized EMA (deployed),0.5,30000,173,1.2332,true,1825
winsorized EMA (deployed),0.5,40000,237,1.2332,true,1825
winsorized EMA (deployed),0.5,60000,342,1.2332,true,1825
winsorized EMA (deployed),0.5,80000,636,1.2332,true,1825
winsorized EMA (deployed),0.5,120000,1025,1.2332,true,1825
winsorized EMA (deployed),0.5,160000,1466,1.2332,true,1825
winsorized EMA (deployed),0.5,200000,1825,1.2332,true,1825
winsorized EMA (deployed),1.0,10000,24,1.2343,true,934
winsorized EMA (deployed),1.0,15000,40,1.2343,true,934
winsorized EMA (deployed),1.0,20000,56,1.2343,true,934
winsorized EMA (deployed),1.0,30000,88,1.2343,true,934
winsorized EMA (deployed),1.0,40000,120,1.2343,true,934
winsorized EMA (deployed),1.0,60000,173,1.2343,true,934
winsorized EMA (deployed),1.0,80000,326,1.2343,true,934
winsorized EMA (deployed),1.0,120000,525,1.2343,true,934
winsorized EMA (deployed),1.0,160000,751,1.2343,true,934
winsorized EMA (deployed),1.0,200000,934,1.2343,true,934
winsorized EMA (deployed),2.0,10000,12,1.2399,true,473
winsorized EMA (deployed),2.0,15000,20,1.2399,true,473
winsorized EMA (deployed),2.0,20000,28,1.2399,true,473
winsorized EMA (deployed),2.0,30000,44,1.2399,true,473
winsorized EMA (deployed),2.0,40000,61,1.2399,true,473
winsorized EMA (deployed),2.0,60000,87,1.2399,true,473
winsorized EMA (deployed),2.0,80000,165,1.2399,true,473
winsorized EMA (deployed),2.0,120000,266,1.2399,true,473
winsorized EMA (deployed),2.0,160000,381,1.2399,true,473
winsorized EMA (deployed),2.0,200000,473,1.2399,true,473
winsorized EMA (deployed),5.0,10000,5,1.2293,true,191
winsorized EMA (deployed),5.0,15000,8,1.2293,true,191
winsorized EMA (deployed),5.0,20000,12,1.2293,true,191
winsorized EMA (deployed),5.0,30000,18,1.2293,true,191
winsorized EMA (deployed),5.0,40000,25,1.2293,true,191
winsorized EMA (deployed),5.0,60000,35,1.2293,true,191
winsorized EMA (deployed),5.0,80000,67,1.2293,true,191
winsorized EMA (deployed),5.0,120000,107,1.2293,true,191
winsorized EMA (deployed),5.0,160000,154,1.2293,true,191
winsorized EMA (deployed),5.0,200000,191,1.2293,true,191
winsorized EMA (deployed),10.0,10000,3,1.2015,true,96
winsorized EMA (deployed),10.0,15000,4,1.2015,true,96
winsorized EMA (deployed),10.0,20000,6,1.2015,true,96
winsorized EMA (deployed),10.0,30000,9,1.2015,true,96
