tracker,c_units,N,W,W_source,p,T,ratio_NW_over_Tinvp,dominated,measurable
two-timescale envelope,0.5,321,64,tracker,1.3,200000,1.7178,false,true
two-timescale envelope,0.5,321,64,tracker,1.5,200000,6.0071,false,true
two-timescale envelope,0.5,321,64,tracker,2.0,200000,45.9378,false,true
two-timescale envelope,1.0,167,64,tracker,1.3,200000,0.8937,true,true
two-timescale envelope,1.0,167,64,tracker,1.5,200000,3.1252,false,true
two-timescale envelope,1.0,167,64,tracker,2.0,200000,23.8991,false,true
two-timescale envelope,2.0,86,64,tracker,1.3,200000,0.4602,true,true
two-timescale envelope,2.0,86,64,tracker,1.5,200000,1.6094,false,true
two-timescale envelope,2.0,86,64,tracker,2.0,200000,12.3073,false,true
two-timescale envelope,5.0,35,64,tracker,1.3,200000,0.1873,true,false
two-timescale envelope,5.0,35,64,tracker,1.5,200000,0.655,true,false
two-timescale envelope,5.0,35,64,tracker,2.0,200000,5.0088,false,false
two-timescale envelope,10.0,18,64,tracker,1.3,200000,0.0963,true,false
two-timescale envelope,10.0,18,64,tracker,1.5,200000,0.3368,true,false
two-timescale envelope,10.0,18,64,tracker,2.0,200000,2.576,false,false
two-timescale envelope,0.5,321,20000,blocking,1.3,200000,536.8088,false,true
two-timescale envelope,0.5,321,20000,blocking,1.5,200000,1877.2194,false,true
two-timescale envelope,0.5,321,20000,blocking,2.0,200000,14355.5564,false,true
two-timescale envelope,1.0,167,20000,blocking,1.3,200000,279.2744,false,true
two-timescale envelope,1.0,167,20000,blocking,1.5,200000,976.6219,false,true
two-timescale envelope,1.0,167,20000,blocking,2.0,200000,7468.467,false,true
two-timescale envelope,2.0,86,20000,blocking,1.3,200000,143.8179,false,true
two-timescale envelope,2.0,86,20000,blocking,1.5,200000,502.9311,false,true
two-timescale envelope,2.0,86,20000,blocking,2.0,200000,3846.0369,false,true
two-timescale envelope,5.0,35,20000,blocking,1.3,200000,58.5306,false,false
two-timescale envelope,5.0,35,20000,blocking,1.5,200000,204.6812,false,false
two-timescale envelope,5.0,35,20000,blocking,2.0,200000,1565.2476,false,false
two-timescale envelope,10.0,18,20000,blocking,1.3,200000,30.1014,false,false
two-timescale envelope,10.0,18,20000,blocking,1.5,200000,105.2646,false,false
two-timescale envelope,10.0,18,20000,blocking,2.0,200000,804.9845,false,false
