method,learning_rate,weighted_r2,final_regret
ogd,0.001,0.020267941714172122,670.5419175895644
ogd,0.002,0.01596843340406362,1215.6135617485522
ogd,0.005,-0.09742578508725708,15591.204595233921
ogd,0.01,-1.019060217286751,132431.72658968158
ogd,0.02,-68.80628283475319,8726180.178757101
ogd,0.03,-569965770.4998772,72257606509154.25
ogd,0.04,-5.341931255874747e+17,6.7722517148725645e+22
adaptive_clip,0.001,0.013615718501735374,1513.8798023404293
adaptive_clip,0.002,0.002353551050669034,2941.6449528146186
adaptive_clip,0.005,-0.15405779355899352,22770.746938980796
adaptive_clip,0.01,-1.3855093536593523,178888.44183631995
adaptive_clip,0.02,-31.761561595855817,4029822.9079442434
adaptive_clip,0.03,-1265.553902289823,160444271.0697794
adaptive_clip,0.04,-67893.90231190533,8607276047.122902
robust_omd[catoni],0.001,0.01539490425629364,1288.3229166329766
robust_omd[catoni],0.002,0.0062014292982732755,2453.8288650972263
robust_omd[catoni],0.005,-0.13291293190693643,20090.09983356545
robust_omd[catoni],0.01,-1.2459495920854748,161195.7050829879
robust_omd[catoni],0.02,-33.63259617978507,4267023.960572263
robust_omd[catoni],0.03,-1974.8617134931246,250367012.6908297
robust_omd[catoni],0.04,-177726.28012859265,22531313504.541332
robust_omd[median_of_means],0.001,0.015210317414465324,1311.723976965612
robust_omd[median_of_means],0.002,0.005845983811705979,2498.8905888567947
robust_omd[median_of_means],0.005,-0.13316462447759325,20122.008245741108
robust_omd[median_of_means],0.01,-1.2652258512942085,163639.459471236
robust_omd[median_of_means],0.02,-32.013169873701884,4061720.6338695255
robust_omd[median_of_means],0.03,-1229.8803753510713,155921747.42778307
robust_omd[median_of_means],0.04,-49055.41092481622,6219019824.964956
robust_omd[trimmed_mean],0.001,0.012846439077622285,1611.4054658060013
robust_omd[trimmed_mean],0.002,0.0009416785462109667,3120.635574960544
robust_omd[trimmed_mean],0.005,-0.15423967277397765,22793.80473898966
robust_omd[trimmed_mean],0.01,-1.3936109633595728,179915.52619135112
robust_omd[trimmed_mean],0.02,-34.72100841009279,4405007.795258989
robust_omd[trimmed_mean],0.03,-1326.6879835770744,168194565.24250326
robust_omd[trimmed_mean],0.04,-50709.66579072108,6428738554.313113
