protocol,method,axis,argmax,grid_lo,grid_hi,n_points,status,window1_r2
per-row,OGD,lr,0.002,0.002,0.01,2,boundary,-0.15152
per-row,Normalized-GD,lr,0.5,0.1,2.0,3,interior,0.38873
per-row,Scale-adaptive OGD,lr,0.1,0.1,2.0,3,boundary,0.31141
per-row,SN-OMD (M=5),lr,0.1,0.1,2.0,3,boundary,0.30994
per-row,SN-OMD + block,lr,0.5,0.1,2.0,3,interior,0.38873
per-row,fixed-tau clip,lr,0.1,0.1,2.0,3,boundary,-0.37314
per-row,fixed-tau clip,tau,20.0,20.0,300.0,2,boundary,-0.37314
per-row,AdaGrad-Norm,lr,0.3,0.03,0.3,2,boundary,0.32785
per-row,Cutkosky-Mehta,lr,0.1,0.1,2.0,3,boundary,0.45562
per-row,Cutkosky-Mehta,tau,20.0,20.0,300.0,2,boundary,0.45562
per-row,Cutkosky-Mehta,beta,0.9,0.0,0.9,2,boundary,0.45562
per-step,OGD,lr,0.002,0.002,0.01,2,boundary,0.11934
per-step,Normalized-GD,lr,0.5,0.1,2.0,3,interior,0.50136
per-step,Scale-adaptive OGD,lr,0.5,0.1,2.0,3,interior,0.42265
per-step,SN-OMD (M=5),lr,0.5,0.1,2.0,3,interior,0.42265
per-step,SN-OMD + block,lr,0.5,0.1,2.0,3,interior,0.50136
per-step,fixed-tau clip,lr,0.1,0.1,2.0,3,boundary,-0.56792
per-step,fixed-tau clip,tau,20.0,20.0,300.0,2,boundary,-0.56792
per-step,AdaGrad-Norm,lr,0.3,0.03,0.3,2,boundary,0.3895
per-step,Cutkosky-Mehta,lr,0.5,0.1,2.0,3,interior,0.50136
per-step,Cutkosky-Mehta,tau,20.0,20.0,300.0,2,boundary,0.50136
per-step,Cutkosky-Mehta,beta,0.0,0.0,0.9,2,boundary,0.50136
per-row,SN-OMD (M=5) (M-sweep),M,20.0,2.0,20.0,3,boundary,0.28099
per-row,SN-OMD (M=5) (M-sweep),M,20.0,2.0,20.0,3,boundary,0.30994
per-row,SN-OMD (M=5) (M-sweep),M,20.0,2.0,20.0,3,boundary,0.31141
per-step,SN-OMD (M=5) (M-sweep),M,5.0,2.0,20.0,3,interior,0.42168
per-step,SN-OMD (M=5) (M-sweep),M,5.0,2.0,20.0,3,interior,0.42265
per-step,SN-OMD (M=5) (M-sweep),M,5.0,2.0,20.0,3,interior,0.42265
per-row,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.38873
per-row,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.38873
per-row,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.38873
per-step,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.50136
per-step,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.50136
per-step,SN-OMD + block (M-sweep),M,2.0,2.0,20.0,3,boundary,0.50136
