kind,method,M,weighted_r2,lr,peak,stable_lr_max,diverged
baseline,ogd,,0.01843503577107919,0.001,4.860309760151377,0.01,false
baseline,adaptive_clip,,0.01289418153745947,0.001,4.981187777007106,0.01,false
baseline,robust_omd[median_of_means],,0.014316910114879455,0.001,4.9663298497594015,0.01,false
msweep,,0.5,0.054327357213977856,0.5,5.205612764465163,0.5,false
msweep,,1.0,0.0901850523830503,0.5,5.154074461259881,0.5,false
msweep,,2.0,0.13606131550413159,0.5,5.021194245536731,0.5,false
msweep,,5.0,0.16880892883774812,0.5,4.67300387987339,0.5,false
msweep,,10.0,0.1600237849720062,0.5,4.599982878362065,0.5,false
msweep,,30.0,0.16204173319348236,0.5,4.597969778848922,0.5,false
normgd,,0.0,0.08687745858167151,0.5,5.27263876718613,0.5,false
uncapped,,inf,0.16194551313723105,0.5,4.597953921126656,0.5,false
