method,lr,window1_r2,tenwin_mean,tenwin_std
Normalized-GD,0.5,0.08688,0.11003,0.02384
Normalized-GD,1.0,0.1408,0.15176,0.02037
Normalized-GD,2.0,0.19698,0.18258,0.01363
Normalized-GD,3.0,0.2205,0.1787,0.02718
Normalized-GD,5.0,0.20087,0.10567,0.08116
Normalized-GD,8.0,0.08649,-0.13206,0.20958
SN-OMD EMA (M=5),0.5,0.16881,0.18301,0.01816
SN-OMD EMA (M=5),1.0,0.24572,0.21516,0.01673
SN-OMD EMA (M=5),2.0,0.28447,0.14025,0.10343
SN-OMD EMA (M=5),3.0,0.21655,-0.0758,0.23981
SN-OMD EMA (M=5),5.0,-0.10118,-0.87581,0.68393
SN-OMD EMA (M=5),8.0,-1.07034,-2.9204,1.74214
SN-OMD block (M=5),0.5,0.21068,0.21807,0.01922
SN-OMD block (M=5),1.0,0.29883,0.27856,0.01231
SN-OMD block (M=5),2.0,0.37953,0.31037,0.03397
SN-OMD block (M=5),3.0,0.40667,0.29132,0.06431
SN-OMD block (M=5),5.0,0.36417,0.16579,0.13634
SN-OMD block (M=5),8.0,0.14341,-0.18704,0.29263
Fixed-tau clip,0.05,0.13807,0.15891,0.01997
Fixed-tau clip,0.1,0.20088,0.2048,0.01135
Fixed-tau clip,0.2,0.24634,0.20643,0.02954
Fixed-tau clip,0.5,0.05995,-0.19231,0.25605
Fixed-tau clip,1.0,-1.03793,-1.88832,1.07789
Fixed-tau clip,2.0,-5.60831,-9.05311,4.42208
AdaGrad-Norm,0.1,0.05539,0.06095,0.01343
AdaGrad-Norm,0.3,0.1217,0.12439,0.01906
AdaGrad-Norm,1.0,0.24687,0.21216,0.01854
AdaGrad-Norm,3.0,0.32859,0.19801,0.06698
AdaGrad-Norm,5.0,0.28772,0.05537,0.1562
Cutkosky-Mehta,0.5,0.20169,0.21379,0.019
Cutkosky-Mehta,1.0,0.29065,0.27134,0.01108
Cutkosky-Mehta,2.0,0.36522,0.2871,0.04057
Cutkosky-Mehta,3.0,0.36562,0.24122,0.07878
Cutkosky-Mehta,5.0,0.25718,0.0346,0.18448
Cutkosky-Mehta,8.0,-0.15883,-0.51937,0.41457
