stream,regime_len,normalizer,k_frac,alpha_mean,alpha_std
stationary_heavy,,raw,0.005,2.3831,0.0703
stationary_heavy,,raw,0.01,2.3364,0.0452
stationary_heavy,,raw,0.02,2.3249,0.0369
stationary_heavy,,raw,0.05,2.2411,0.0226
stationary_heavy,,raw,0.1,2.1195,0.016
stationary_heavy,,ema,0.005,2.3726,0.0801
stationary_heavy,,ema,0.01,2.3421,0.0514
stationary_heavy,,ema,0.02,2.3212,0.0354
stationary_heavy,,ema,0.05,2.2371,0.0211
stationary_heavy,,ema,0.1,2.1139,0.0149
stationary_heavy,,median,0.005,2.3686,0.0695
stationary_heavy,,median,0.01,2.3378,0.0496
stationary_heavy,,median,0.02,2.3191,0.0358
stationary_heavy,,median,0.05,2.2405,0.0224
stationary_heavy,,median,0.1,2.1168,0.0157
drift_manufactured,50,raw,0.005,2.5299,0.3366
drift_manufactured,50,raw,0.01,2.4642,0.2144
drift_manufactured,50,raw,0.02,2.4246,0.1591
drift_manufactured,50,raw,0.05,2.4034,0.1028
drift_manufactured,50,raw,0.1,2.3661,0.0711
drift_manufactured,50,ema,0.005,3.2954,0.2726
drift_manufactured,50,ema,0.01,3.3633,0.1942
drift_manufactured,50,ema,0.02,3.3787,0.1372
drift_manufactured,50,ema,0.05,3.2532,0.0984
drift_manufactured,50,ema,0.1,2.9821,0.0607
drift_manufactured,250,raw,0.005,2.9064,0.7966
drift_manufactured,250,raw,0.01,2.7187,0.593
drift_manufactured,250,raw,0.02,2.5716,0.4105
drift_manufactured,250,raw,0.05,2.4705,0.2568
drift_manufactured,250,raw,0.1,2.4024,0.1616
drift_manufactured,250,ema,0.005,4.3598,0.5331
drift_manufactured,250,ema,0.01,4.7075,0.4045
drift_manufactured,250,ema,0.02,4.8005,0.2572
drift_manufactured,250,ema,0.05,4.4878,0.1505
drift_manufactured,250,ema,0.1,3.8783,0.0717
drift_manufactured,1000,raw,0.005,3.5596,0.7606
drift_manufactured,1000,raw,0.01,3.0792,0.6269
drift_manufactured,1000,raw,0.02,2.7668,0.4788
drift_manufactured,1000,raw,0.05,2.5328,0.294
drift_manufactured,1000,raw,0.1,2.4159,0.2156
drift_manufactured,1000,ema,0.005,6.5795,0.5429
drift_manufactured,1000,ema,0.01,6.6849,0.3533
drift_manufactured,1000,ema,0.02,6.3523,0.2187
drift_manufactured,1000,ema,0.05,5.3768,0.0797
drift_manufactured,1000,ema,0.1,4.4175,0.05
drift_manufactured,5000,raw,0.005,5.5255,0.6193
drift_manufactured,5000,raw,0.01,4.6794,0.6286
drift_manufactured,5000,raw,0.02,3.9435,0.5848
drift_manufactured,5000,raw,0.05,3.2709,0.4972
drift_manufactured,5000,raw,0.1,2.8547,0.4162
drift_manufactured,5000,ema,0.005,9.1647,0.4728
drift_manufactured,5000,ema,0.01,8.2943,0.2477
drift_manufactured,5000,ema,0.02,7.2865,0.1685
drift_manufactured,5000,ema,0.05,5.793,0.0616
drift_manufactured,5000,ema,0.1,4.6203,0.0386
