method,learning_rate,weighted_r2,peak_rolling_loss,diverged
ogd,0.002,0.017993687618764187,4.827305770052431,false
ogd,0.005,-0.0510398688942153,4.762259638921098,false
ogd,0.01,-0.65342455960846,21.119628388064186,false
ogd,0.02,-43.54681528365823,3364.8611353752367,true
ogd,0.03,-355864554.90995216,33674966436.155266,true
ogd,0.05,-1.0736173579472796e+28,1.074867932366132e+30,true
ogd,0.1,-3.5488347973269793e+74,3.582713739210418e+76,true
ogd,0.2,-4.671304724731289e+155,4.7241738942945825e+157,true
ogd,0.5,-inf,9.999999999999992e+299,true
ogd,1.0,-inf,9.999999999999992e+299,true
ogd,2.0,NaN,9.999999999999992e+299,true
adaptive_clip,0.002,0.006634325219174175,5.020226619242374,false
adaptive_clip,0.005,-0.09544730497075449,5.0500971892379685,false
adaptive_clip,0.01,-0.9164609378134063,21.490719314202867,false
adaptive_clip,0.02,-20.60846947474654,924.1522031724137,true
adaptive_clip,0.03,-799.8082409300404,58912.17197508151,true
adaptive_clip,0.05,-2107028.2636143058,187861191.9792549,true
adaptive_clip,0.1,-6116108354887.439,607430314898876.8,true
adaptive_clip,0.2,-2.32035517343606e+24,2.3375170236353405e+26,true
adaptive_clip,0.5,-8.924086104935246e+49,6.512667437834158e+51,true
adaptive_clip,1.0,-1.0558625766408652e+114,7.283411637363716e+115,true
adaptive_clip,2.0,-6.790228276688286e+279,6.224649761765335e+281,true
robust_omd[median_of_means],0.002,0.009722486033020616,5.000944667747493,false
robust_omd[median_of_means],0.005,-0.07896467524809059,5.02006515953732,false
robust_omd[median_of_means],0.01,-0.8299075226453154,21.287071244043947,false
robust_omd[median_of_means],0.02,-20.705547508822914,1043.1266036583727,true
robust_omd[median_of_means],0.03,-774.5550444336053,60171.019539461166,true
robust_omd[median_of_means],0.05,-589841.730102678,54351984.367853165,true
robust_omd[median_of_means],0.1,-906162290672.9341,91101167587964.17,true
robust_omd[median_of_means],0.2,-3.5534940364772363e+20,3.588178496190123e+22,true
robust_omd[median_of_means],0.5,-1.0228418620844244e+44,9.938199835523849e+45,true
robust_omd[median_of_means],1.0,-6.109931343380382e+106,5.222094891135437e+108,true
robust_omd[median_of_means],2.0,-1.2093134160086322e+284,1.0893137820370352e+286,true
sn_ogd,0.002,0.00698855221704664,4.944970762490542,false
sn_ogd,0.005,0.013157902554559175,4.892325626874795,false
sn_ogd,0.01,0.01799590825838082,4.889850197780794,false
sn_ogd,0.02,0.02273894000192589,4.929351861734913,false
sn_ogd,0.03,0.02646156145060452,4.956880474320471,false
sn_ogd,0.05,0.033895233240134326,4.974774196893369,false
sn_ogd,0.1,0.052704295939135726,4.954834978837994,false
sn_ogd,0.2,0.0874240085913075,4.893389157303991,false
sn_ogd,0.5,0.16880892883774812,4.67300387987339,false
sn_ogd,1.0,0.24571616438388977,4.344069303785957,false
sn_ogd,2.0,0.2844662891543792,8.091602813500403,false
