lr,window,method,weighted_r2,peak,diverged
0.005,"[0,20)",ogd,-0.2852730048226024,2.1293004408546006,false
0.005,"[0,20)",adaptive_clip,-0.383074506193696,2.3707791434399237,false
0.005,"[0,20)",sn_ogd,0.01596892023457286,1.5441362111029706,false
0.005,"[30,50)",ogd,-31.624252953086042,210.76948887184557,true
0.005,"[30,50)",adaptive_clip,-36.23480196713866,216.6939402875061,true
0.005,"[30,50)",sn_ogd,0.010984521395824731,3.0819530548194107,false
0.005,"[100,120)",ogd,-1.1483329142717325,9.21495046355237,true
0.005,"[100,120)",adaptive_clip,-1.6633776999078131,9.718742289091184,true
0.005,"[100,120)",sn_ogd,0.015473558345943661,2.2122960899457786,false
0.005,"[400,420)",ogd,-62.095908347184114,2163.176282260426,true
0.005,"[400,420)",adaptive_clip,-73.247247883525,2224.2718954162037,true
0.005,"[400,420)",sn_ogd,0.007511419399355623,7.475394929754315,false
0.005,"[900,920)",ogd,-1.5581931018495045,17.194365708872695,true
0.005,"[900,920)",adaptive_clip,-1.7709795082601634,17.373251794370844,true
0.005,"[900,920)",sn_ogd,0.01849980203802193,2.081240680074496,false
0.01,"[0,20)",ogd,-2.449814602311729,21.119628388064186,true
0.01,"[0,20)",adaptive_clip,-3.139467192038543,21.490719314202867,true
0.01,"[0,20)",sn_ogd,0.024594737202802586,1.5617860376562631,false
0.01,"[30,50)",ogd,-1706.2782764255612,15901.069438849165,true
0.01,"[30,50)",adaptive_clip,-1921.1957961340202,15918.713845048856,true
0.01,"[30,50)",sn_ogd,0.01723898613607744,3.061081870731814,false
0.01,"[100,120)",ogd,-60.90800884200168,917.7205399394185,true
0.01,"[100,120)",adaptive_clip,-110.07587080976356,810.687275844911,true
0.01,"[100,120)",sn_ogd,0.02228406042466502,2.238745787737559,false
0.01,"[400,420)",ogd,-4784.663793543396,240263.7045433313,true
0.01,"[400,420)",adaptive_clip,-5380.933439659159,244995.6193810526,true
0.01,"[400,420)",sn_ogd,0.014182000346511847,7.492995494887791,false
0.01,"[900,920)",ogd,-622.8875544431163,9098.81722938083,true
0.01,"[900,920)",adaptive_clip,-685.1336220116101,9140.151435833948,true
0.01,"[900,920)",sn_ogd,0.029775186762928563,2.1082095061393265,false
