regime,label,raw_k0.01,recovered_k0.01,delta_k0.01,raw_k0.005,raw_k0.02,norm_k0.005,norm_k0.01,norm_k0.02,delta_k0.005,delta_k0.02,base_gt_k0.01,innov_gt_k0.01
REAL,raw||g||,2.43,,,,,,,,,,,
REAL,||g||/s_t,,3.735,1.304,,,,,,,,,
REAL,shuffled/s_t,,2.417,-0.014,,,,,,,,,
"A. NULL (iid, NO scale structure): does normalization lighten a KNOWN tail?",Pareto(alpha=2.0),1.995,,0.001,1.992,2.007,1.993,1.996,2.006,0.001,-0.0,,
"A. NULL (iid, NO scale structure): does normalization lighten a KNOWN tail?",Pareto(alpha=2.4),2.394,,0.001,2.391,2.408,2.393,2.395,2.407,0.002,-0.001,,
"A. NULL (iid, NO scale structure): does normalization lighten a KNOWN tail?",Pareto(alpha=3.0),2.992,,0.002,2.988,3.01,2.993,2.994,3.01,0.005,0.0,,
"A. NULL (iid, NO scale structure): does normalization lighten a KNOWN tail?",|Student-t|(nu=2.4),2.356,,-0.001,2.394,2.324,2.395,2.355,2.32,0.002,-0.003,,
B. BOUNDED-DRIFT control (heavy base x smooth ~6x drift): bounded factor cannot move a tail index,Pareto(alpha=2.0),2.001,,-0.005,1.992,1.999,1.993,1.996,2.005,0.001,0.006,,
B. BOUNDED-DRIFT control (heavy base x smooth ~6x drift): bounded factor cannot move a tail index,Pareto(alpha=2.4),2.4,,-0.006,2.395,2.399,2.395,2.394,2.407,-0.0,0.008,,
B. BOUNDED-DRIFT control (heavy base x smooth ~6x drift): bounded factor cannot move a tail index,Pareto(alpha=3.0),3.004,,-0.013,2.988,3.002,2.993,2.991,3.009,0.005,0.007,,
B. BOUNDED-DRIFT control (heavy base x smooth ~6x drift): bounded factor cannot move a tail index,|Student-t|(nu=2.4),2.305,,0.049,2.346,2.227,2.393,2.353,2.321,0.047,0.094,,
C.mechanism,"a_sig=2.2,L=1500,p_base=3.7",3.52,3.614,0.094,,,,,,,,3.71,
C.mechanism,"a_sig=2.2,L=3000,p_base=3.7",3.74,3.671,-0.068,,,,,,,,3.71,
C.mechanism,"a_sig=2.4,L=1500,p_base=3.7",3.575,3.646,0.071,,,,,,,,3.71,
C.mechanism,"a_sig=2.4,L=3000,p_base=3.7",3.735,3.685,-0.05,,,,,,,,3.71,
C.mechanism,"a_sig=2.6,L=1500,p_base=3.7",3.584,3.665,0.081,,,,,,,,3.71,
C.mechanism,"a_sig=2.6,L=3000,p_base=3.7",3.729,3.692,-0.037,,,,,,,,3.71,
D.garch,"a=0.15,b=0.82",4.126,5.757,1.631,,,,,,,,,9.043
D.garch,"a=0.22,b=0.77",2.494,4.484,1.99,,,,,,,,,9.043
D.garch,"a=0.3,b=0.69",2.272,3.886,1.614,,,,,,,,,9.043
D.garch,"a=0.4,b=0.59",2.154,3.381,1.226,,,,,,,,,9.043
