test,p,method,exponent,pred_1_over_p,regret_T,njumps,P_T,M,excess_loss,sem
Tp,1.3,ogd,1.5465263123713915,0.7692307692307692,790779.5398349344,,,,,
Tp,1.3,normgd,-0.011054719020604781,0.7692307692307692,220.6934280390829,,,,,
Tp,1.3,fixedclip,0.44295992807116136,0.7692307692307692,574.2422803606873,,,,,
Tp,1.3,scaleclip,0.5766301931106407,0.7692307692307692,1011.5318817075496,,,,,
Tp,1.3,snomd,0.48738300986025657,0.7692307692307692,763.5718869518251,,,,,
Tp,1.5,ogd,0.6970428709701806,0.6666666666666666,11011.389499356264,,,,,
Tp,1.5,normgd,0.2885646928555289,0.6666666666666666,185.64667398511844,,,,,
Tp,1.5,fixedclip,0.4018261473518392,0.6666666666666666,290.5842113740585,,,,,
Tp,1.5,scaleclip,0.559272310396826,0.6666666666666666,529.6924303308411,,,,,
Tp,1.5,snomd,0.389160590904226,0.6666666666666666,394.80816529551015,,,,,
Tp,2.0,ogd,0.3700074472160451,0.5,579.4866777058589,,,,,
Tp,2.0,normgd,0.28421259465007626,0.5,194.3404452474644,,,,,
Tp,2.0,fixedclip,0.3474200137451818,0.5,241.92281571036602,,,,,
Tp,2.0,scaleclip,0.46795744590668903,0.5,379.7405350324352,,,,,
Tp,2.0,snomd,0.33718028632049907,0.5,316.2494977270734,,,,,
PT,1.5,ogd,,,7873.908232309832,0,0.0,,,
PT,1.5,normgd,,,245.22166053659032,0,0.0,,,
PT,1.5,fixedclip,,,323.0150263819527,0,0.0,,,
PT,1.5,scaleclip,,,580.6744758155006,0,0.0,,,
PT,1.5,snomd,,,421.69443799941104,0,0.0,,,
PT,1.5,ogd,,,16590.91722363715,4,5.656854249492381,,,
PT,1.5,normgd,,,5963.656182171022,4,5.656854249492381,,,
PT,1.5,fixedclip,,,4244.551575600398,4,5.656854249492381,,,
PT,1.5,scaleclip,,,2462.088253549045,4,5.656854249492381,,,
PT,1.5,snomd,,,5274.731152937134,4,5.656854249492381,,,
PT,1.5,ogd,,,28246.337697850555,16,22.627416997969522,,,
PT,1.5,normgd,,,13475.519102886183,16,22.627416997969522,,,
PT,1.5,fixedclip,,,11284.708015575849,16,22.627416997969522,,,
PT,1.5,scaleclip,,,7655.876034437575,16,22.627416997969522,,,
PT,1.5,snomd,,,12562.189245029573,16,22.627416997969522,,,
PT,1.5,ogd,,,29278.376586230235,64,90.50966799187809,,,
PT,1.5,normgd,,,17607.24752258801,64,90.50966799187809,,,
PT,1.5,fixedclip,,,16698.18709914429,64,90.50966799187809,,,
PT,1.5,scaleclip,,,14751.872616804632,64,90.50966799187809,,,
PT,1.5,snomd,,,17345.893956248416,64,90.50966799187809,,,
Msweep,1.5,,,,,,,0.1,0.005501622887180879,0.0015899062066430016
Msweep,1.5,,,,,,,0.2,0.0032532550853181085,0.0011248645435592269
Msweep,1.5,,,,,,,0.5,0.0005069887885098742,0.0017108767530451831
Msweep,1.5,,,,,,,1.0,0.004832865667262091,0.0017674542359981896
Msweep,1.5,,,,,,,2.0,0.007545538912916287,0.0038394714658932876
Msweep,1.5,,,,,,,5.0,0.01844686432469087,0.0028164550551574006
Msweep,1.5,,,,,,,10.0,0.0250997268048348,0.004366484634930974
Msweep,1.5,,,,,,,30.0,0.05617027961582962,0.006076499255203937
Msweep,1.5,,,,,,,100.0,0.1219762328603816,0.008187193446898574
