protocol,window,window_idx,method,setting,weighted_r2,diverged
per-row,"[0,120)",1,AdaptiveClip,lr=0.001,0.01289,false
per-row,"[0,120)",1,RobustOMD,lr=0.001,0.01432,false
per-row,"[150,270)",2,AdaptiveClip,lr=0.001,0.01542,false
per-row,"[150,270)",2,RobustOMD,lr=0.001,0.01798,false
per-row,"[300,420)",3,AdaptiveClip,lr=0.001,0.00231,false
per-row,"[300,420)",3,RobustOMD,lr=0.001,0.00555,false
per-row,"[450,570)",4,AdaptiveClip,lr=0.001,-0.0287,false
per-row,"[450,570)",4,RobustOMD,lr=0.001,-0.0255,false
per-row,"[600,720)",5,AdaptiveClip,lr=0.001,-0.01716,false
per-row,"[600,720)",5,RobustOMD,lr=0.001,-0.01484,false
per-row,"[750,870)",6,AdaptiveClip,lr=0.001,0.0117,false
per-row,"[750,870)",6,RobustOMD,lr=0.001,0.01449,false
per-row,"[900,1020)",7,AdaptiveClip,lr=0.001,0.01864,false
per-row,"[900,1020)",7,RobustOMD,lr=0.001,0.02171,false
per-row,"[1050,1170)",8,AdaptiveClip,lr=0.001,-0.14713,false
per-row,"[1050,1170)",8,RobustOMD,lr=0.001,-0.13405,false
per-row,"[1200,1320)",9,AdaptiveClip,lr=0.001,0.03144,false
per-row,"[1200,1320)",9,RobustOMD,lr=0.001,0.03383,false
per-row,"[1350,1470)",10,AdaptiveClip,lr=0.001,-0.00173,false
per-row,"[1350,1470)",10,RobustOMD,lr=0.001,0.0,false
per-step,"[0,120)",1,AdaptiveClip,lr=0.005,0.11739,false
per-step,"[0,120)",1,RobustOMD,lr=0.005,0.13126,false
per-step,"[150,270)",2,AdaptiveClip,lr=0.005,-43.2049,true
per-step,"[150,270)",2,RobustOMD,lr=0.005,-43.01265,true
per-step,"[300,420)",3,AdaptiveClip,lr=0.005,-84.80611,true
per-step,"[300,420)",3,RobustOMD,lr=0.005,-84.69362,true
per-step,"[450,570)",4,AdaptiveClip,lr=0.005,-5.10929,true
per-step,"[450,570)",4,RobustOMD,lr=0.005,-4.60452,true
per-step,"[600,720)",5,AdaptiveClip,lr=0.005,-14442.12778,true
per-step,"[600,720)",5,RobustOMD,lr=0.005,-1028.29194,true
per-step,"[750,870)",6,AdaptiveClip,lr=0.005,-511326950120087.94,true
per-step,"[750,870)",6,RobustOMD,lr=0.005,-12273468296.18615,true
per-step,"[900,1020)",7,AdaptiveClip,lr=0.005,-1210.57614,true
per-step,"[900,1020)",7,RobustOMD,lr=0.005,-64.23627,true
per-step,"[1050,1170)",8,AdaptiveClip,lr=0.005,-3212441967.63996,true
per-step,"[1050,1170)",8,RobustOMD,lr=0.005,-314957934.09336,true
per-step,"[1200,1320)",9,AdaptiveClip,lr=0.005,-9.860599230111721e+17,true
per-step,"[1200,1320)",9,RobustOMD,lr=0.005,-37257282246697.8,true
per-step,"[1350,1470)",10,AdaptiveClip,lr=0.005,-4991321.30041,true
per-step,"[1350,1470)",10,RobustOMD,lr=0.005,-363016.12339,true
