protocol,window,window_idx,method,setting,weighted_r2,diverged
per-row,"[0,120)",1,AdaptiveClip,lr=0.1,-655467121373485.1,true
per-row,"[0,120)",1,RobustOMD,lr=0.1,-717320425026034.1,true
per-row,"[150,270)",2,AdaptiveClip,lr=0.1,-2.5814764220052443e+21,true
per-row,"[150,270)",2,RobustOMD,lr=0.1,-6.008545292480706e+20,true
per-row,"[300,420)",3,AdaptiveClip,lr=0.1,-1.4151868419894833e+18,true
per-row,"[300,420)",3,RobustOMD,lr=0.1,-8.767621564493416e+16,true
per-step,"[0,120)",1,AdaptiveClip,lr=0.1,-3.431530461705171e+61,true
per-step,"[0,120)",1,RobustOMD,lr=0.1,-6.027856639269055e+35,true
per-step,"[150,270)",2,AdaptiveClip,lr=0.1,-3.102112931763099e+74,true
per-step,"[150,270)",2,RobustOMD,lr=0.1,-6.172339807804677e+42,true
per-step,"[300,420)",3,AdaptiveClip,lr=0.1,-1.4955889026312242e+80,true
per-step,"[300,420)",3,RobustOMD,lr=0.1,-2.9803747455536848e+44,true
