window,method,weighted_r2,final_regret
"[0,20)",ogd,0.03634664220387607,-111.22193985323572
"[0,20)",adaptive_clip,0.11575252570411299,-3972.6978609380503
"[0,20)",robust_omd[catoni],0.024375064681779857,470.9510214089285
"[0,20)",robust_omd[median_of_means],0.11675877955296476,-4021.631577642148
"[0,20)",robust_omd[trimmed_mean],0.10339971170651818,-3371.9855244370515
"[30,50)",ogd,-0.02181504609930096,3623.51063200634
"[30,50)",adaptive_clip,-216109878819628.75,1.2921464897246745e+19
"[30,50)",robust_omd[catoni],-3830549404352.261,2.290330730638069e+17
"[30,50)",robust_omd[median_of_means],-659951522660.895,3.945928099411475e+16
"[30,50)",robust_omd[trimmed_mean],-3674756564682.7607,2.1971803517647363e+17
"[100,120)",ogd,0.044469392027426724,-760.1483583520454
"[100,120)",adaptive_clip,-120.92149610195918,7271723.899008639
"[100,120)",robust_omd[catoni],-0.5005183037231731,32004.55787262975
"[100,120)",robust_omd[median_of_means],-31.104694305369463,1871930.2001463424
"[100,120)",robust_omd[trimmed_mean],-82.83895677863691,4982198.423135467
"[400,420)",ogd,0.04054682168095591,-1551.027047065163
"[400,420)",adaptive_clip,-658057046249.3135,1.1436914760551445e+17
"[400,420)",robust_omd[catoni],-13374944.412264762,2324541624524.879
"[400,420)",robust_omd[median_of_means],-47925794424.47649,8329418076880824.0
"[400,420)",robust_omd[trimmed_mean],-198164653430.6839,3.4440665330745868e+16
"[900,920)",ogd,0.05722722710688011,-305.9478289959761
"[900,920)",adaptive_clip,-112893.42046550396,5066519175.283487
"[900,920)",robust_omd[catoni],-100.41627989775796,4508820.634144892
"[900,920)",robust_omd[median_of_means],-9735.111592242432,436902015.47028244
"[900,920)",robust_omd[trimmed_mean],-14744.857040372945,661733187.542495
