window,method,weighted_r2,final_regret
"[0,20)",ogd,0.03634664220387607,-111.22193985323572
"[0,20)",adaptive_clip,0.07786678663898894,-2130.329730218324
"[0,20)",robust_omd[catoni],0.08004813813423572,-2236.4079690467183
"[0,20)",robust_omd[median_of_means],0.0873795524147305,-2592.9316731315216
"[0,20)",robust_omd[trimmed_mean],0.07789159538823676,-2131.5361696360383
"[30,50)",ogd,-0.02181504609930096,3623.51063200634
"[30,50)",adaptive_clip,-443.769858224849,26535843.113335136
"[30,50)",robust_omd[catoni],-11347.0804788067,678457662.7781054
"[30,50)",robust_omd[median_of_means],-195.42323950355686,11686905.463264715
"[30,50)",robust_omd[trimmed_mean],-196.73487307404318,11765329.583585745
"[100,120)",ogd,0.044469392027426724,-760.1483583520454
"[100,120)",adaptive_clip,0.09053507601159605,-3529.621164507383
"[100,120)",robust_omd[catoni],0.10516195231044789,-4408.9902011766335
"[100,120)",robust_omd[median_of_means],0.10442623856650879,-4364.759028843411
"[100,120)",robust_omd[trimmed_mean],0.08913951597343306,-3445.719977316089
"[400,420)",ogd,0.04054682168095591,-1551.027047065163
"[400,420)",adaptive_clip,-2.772318858093439,487320.0396152961
"[400,420)",robust_omd[catoni],-3.22815409043847,566543.3945949216
"[400,420)",robust_omd[median_of_means],-2.1160317078973976,373258.4968050244
"[400,420)",robust_omd[trimmed_mean],-2.4189903950853626,425912.1793555831
"[900,920)",ogd,0.05722722710688011,-305.9478289959761
"[900,920)",adaptive_clip,0.04155316062673897,397.4848652106237
"[900,920)",robust_omd[catoni],0.04433713641608383,272.5434792220948
"[900,920)",robust_omd[median_of_means],0.06157813190517947,-501.21104855561566
"[900,920)",robust_omd[trimmed_mean],0.04262957102234277,349.1768995904221
