protocol,window,window_idx,method,setting,weighted_r2,diverged
per-row,"[0,120)",1,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.36359,false
per-row,"[150,270)",2,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.32631,false
per-row,"[300,420)",3,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.31865,false
per-row,"[450,570)",4,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.30972,false
per-row,"[600,720)",5,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.27682,false
per-row,"[750,870)",6,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.26311,false
per-row,"[900,1020)",7,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.24937,false
per-row,"[1050,1170)",8,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.23044,false
per-row,"[1200,1320)",9,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.30553,false
per-row,"[1350,1470)",10,Cutkosky-Mehta,"tau=300,beta=0.5,lr=2",0.24275,false
per-step,"[0,120)",1,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.3712,false
per-step,"[150,270)",2,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.31905,false
per-step,"[300,420)",3,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.1995,false
per-step,"[450,570)",4,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.23934,false
per-step,"[600,720)",5,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.10374,false
per-step,"[750,870)",6,Cutkosky-Mehta,"tau=300,beta=0,lr=5",-0.01575,false
per-step,"[900,1020)",7,Cutkosky-Mehta,"tau=300,beta=0,lr=5",-0.20241,false
per-step,"[1050,1170)",8,Cutkosky-Mehta,"tau=300,beta=0,lr=5",-0.19279,false
per-step,"[1200,1320)",9,Cutkosky-Mehta,"tau=300,beta=0,lr=5",0.20905,false
per-step,"[1350,1470)",10,Cutkosky-Mehta,"tau=300,beta=0,lr=5",-0.08981,false
