protocol,window,window_idx,method,setting,weighted_r2,diverged
per-row,"[0,120)",1,OGD,lr=0.001,0.01844,false
per-row,"[0,120)",1,Normalized-GD,lr=3,0.2205,false
per-row,"[0,120)",1,Scale-adaptive OGD,lr=0.5,0.15934,false
per-row,"[0,120)",1,SN-OMD (M=5),lr=2,0.28456,false
per-row,"[0,120)",1,fixed-tau clip,"lr=0.2,tau=20",0.24634,false
per-row,"[0,120)",1,AdaGrad-Norm,lr=3,0.32859,false
per-row,"[150,270)",2,OGD,lr=0.001,0.02244,false
per-row,"[150,270)",2,Normalized-GD,lr=3,0.19288,false
per-row,"[150,270)",2,Scale-adaptive OGD,lr=0.5,-187.19573,true
per-row,"[150,270)",2,SN-OMD (M=5),lr=2,0.20361,false
per-row,"[150,270)",2,fixed-tau clip,"lr=0.2,tau=20",0.2298,false
per-row,"[150,270)",2,AdaGrad-Norm,lr=3,0.2094,false
per-row,"[300,420)",3,OGD,lr=0.001,0.01335,false
per-row,"[300,420)",3,Normalized-GD,lr=3,0.16345,false
per-row,"[300,420)",3,Scale-adaptive OGD,lr=0.5,-291688.92454,true
per-row,"[300,420)",3,SN-OMD (M=5),lr=2,0.14215,false
per-row,"[300,420)",3,fixed-tau clip,"lr=0.2,tau=20",0.19883,false
per-row,"[300,420)",3,AdaGrad-Norm,lr=3,0.21382,false
per-row,"[450,570)",4,OGD,lr=0.001,-0.01887,false
per-row,"[450,570)",4,Normalized-GD,lr=3,0.20322,false
per-row,"[450,570)",4,Scale-adaptive OGD,lr=0.5,-0.65507,true
per-row,"[450,570)",4,SN-OMD (M=5),lr=2,0.19715,false
per-row,"[450,570)",4,fixed-tau clip,"lr=0.2,tau=20",0.23583,false
per-row,"[450,570)",4,AdaGrad-Norm,lr=3,0.22391,false
per-row,"[600,720)",5,OGD,lr=0.001,-0.00952,false
per-row,"[600,720)",5,Normalized-GD,lr=3,0.18135,false
per-row,"[600,720)",5,Scale-adaptive OGD,lr=0.5,0.14159,false
per-row,"[600,720)",5,SN-OMD (M=5),lr=2,0.14617,false
per-row,"[600,720)",5,fixed-tau clip,"lr=0.2,tau=20",0.21169,false
per-row,"[600,720)",5,AdaGrad-Norm,lr=3,0.19251,false
per-row,"[750,870)",6,OGD,lr=0.001,0.02336,false
per-row,"[750,870)",6,Normalized-GD,lr=3,0.17263,false
per-row,"[750,870)",6,Scale-adaptive OGD,lr=0.5,-496.97112,true
per-row,"[750,870)",6,SN-OMD (M=5),lr=2,0.1039,false
per-row,"[750,870)",6,fixed-tau clip,"lr=0.2,tau=20",0.19245,false
per-row,"[750,870)",6,AdaGrad-Norm,lr=3,0.23796,false
per-row,"[900,1020)",7,OGD,lr=0.001,0.02547,false
per-row,"[900,1020)",7,Normalized-GD,lr=3,0.15168,false
per-row,"[900,1020)",7,Scale-adaptive OGD,lr=0.5,-2084.40576,true
per-row,"[900,1020)",7,SN-OMD (M=5),lr=2,-0.10706,false
per-row,"[900,1020)",7,fixed-tau clip,"lr=0.2,tau=20",0.16386,false
per-row,"[900,1020)",7,AdaGrad-Norm,lr=3,0.09984,false
per-row,"[1050,1170)",8,OGD,lr=0.001,-0.11224,false
per-row,"[1050,1170)",8,Normalized-GD,lr=3,0.14251,false
per-row,"[1050,1170)",8,Scale-adaptive OGD,lr=0.5,-1.4717,true
per-row,"[1050,1170)",8,SN-OMD (M=5),lr=2,0.04348,false
per-row,"[1050,1170)",8,fixed-tau clip,"lr=0.2,tau=20",0.15674,false
per-row,"[1050,1170)",8,AdaGrad-Norm,lr=3,0.07366,false
per-row,"[1200,1320)",9,OGD,lr=0.001,0.04067,false
per-row,"[1200,1320)",9,Normalized-GD,lr=3,0.21487,false
per-row,"[1200,1320)",9,Scale-adaptive OGD,lr=0.5,-2694631.17826,true
per-row,"[1200,1320)",9,SN-OMD (M=5),lr=2,0.22755,false
per-row,"[1200,1320)",9,fixed-tau clip,"lr=0.2,tau=20",0.23715,false
per-row,"[1200,1320)",9,AdaGrad-Norm,lr=3,0.1969,false
per-row,"[1350,1470)",10,OGD,lr=0.001,0.00677,false
per-row,"[1350,1470)",10,Normalized-GD,lr=3,0.1439,false
per-row,"[1350,1470)",10,Scale-adaptive OGD,lr=0.5,0.20995,false
per-row,"[1350,1470)",10,SN-OMD (M=5),lr=2,0.15654,false
per-row,"[1350,1470)",10,fixed-tau clip,"lr=0.2,tau=20",0.19164,false
per-row,"[1350,1470)",10,AdaGrad-Norm,lr=3,0.20356,false
per-step,"[0,120)",1,OGD,lr=0.005,0.1392,false
per-step,"[0,120)",1,Normalized-GD,lr=5,0.3712,false
per-step,"[0,120)",1,Scale-adaptive OGD,lr=0.2,0.08042,false
per-step,"[0,120)",1,SN-OMD (M=5),lr=2,0.30656,false
per-step,"[0,120)",1,fixed-tau clip,"lr=0.2,tau=20",0.38208,false
per-step,"[0,120)",1,AdaGrad-Norm,lr=1,0.2189,false
per-step,"[150,270)",2,OGD,lr=0.005,-42.99569,true
per-step,"[150,270)",2,Normalized-GD,lr=5,0.31905,false
per-step,"[150,270)",2,Scale-adaptive OGD,lr=0.2,0.07518,false
per-step,"[150,270)",2,SN-OMD (M=5),lr=2,0.29186,false
per-step,"[150,270)",2,fixed-tau clip,"lr=0.2,tau=20",0.33876,false
per-step,"[150,270)",2,AdaGrad-Norm,lr=1,0.20657,false
per-step,"[300,420)",3,OGD,lr=0.005,-88.70656,true
per-step,"[300,420)",3,Normalized-GD,lr=5,0.1995,false
per-step,"[300,420)",3,Scale-adaptive OGD,lr=0.2,0.09457,false
per-step,"[300,420)",3,SN-OMD (M=5),lr=2,0.1675,false
per-step,"[300,420)",3,fixed-tau clip,"lr=0.2,tau=20",0.27886,false
per-step,"[300,420)",3,AdaGrad-Norm,lr=1,0.22308,false
per-step,"[450,570)",4,OGD,lr=0.005,-6.58175,true
per-step,"[450,570)",4,Normalized-GD,lr=5,0.23934,false
per-step,"[450,570)",4,Scale-adaptive OGD,lr=0.2,0.07702,false
per-step,"[450,570)",4,SN-OMD (M=5),lr=2,0.28769,false
per-step,"[450,570)",4,fixed-tau clip,"lr=0.2,tau=20",0.29225,false
per-step,"[450,570)",4,AdaGrad-Norm,lr=1,0.16009,false
per-step,"[600,720)",5,OGD,lr=0.005,-5192959601354.597,true
per-step,"[600,720)",5,Normalized-GD,lr=5,0.10374,false
per-step,"[600,720)",5,Scale-adaptive OGD,lr=0.2,0.08594,false
per-step,"[600,720)",5,SN-OMD (M=5),lr=2,0.08685,false
per-step,"[600,720)",5,fixed-tau clip,"lr=0.2,tau=20",0.19908,false
per-step,"[600,720)",5,AdaGrad-Norm,lr=1,0.18906,false
per-step,"[750,870)",6,OGD,lr=0.005,-5.685708601635929e+50,true
per-step,"[750,870)",6,Normalized-GD,lr=5,-0.01575,false
per-step,"[750,870)",6,Scale-adaptive OGD,lr=0.2,0.11821,false
per-step,"[750,870)",6,SN-OMD (M=5),lr=2,-0.01906,false
per-step,"[750,870)",6,fixed-tau clip,"lr=0.2,tau=20",0.13096,false
per-step,"[750,870)",6,AdaGrad-Norm,lr=1,0.20082,false
per-step,"[900,1020)",7,OGD,lr=0.005,-347663649333.6951,true
per-step,"[900,1020)",7,Normalized-GD,lr=5,-0.20241,false
per-step,"[900,1020)",7,Scale-adaptive OGD,lr=0.2,0.12351,false
per-step,"[900,1020)",7,SN-OMD (M=5),lr=2,-0.09529,false
