protocol,method,mean,std,min,max,n_diverged
per-row,fixed-tau clip,0.206433,0.0311411774736352,0.15674,0.24634,0
per-row,AdaGrad-Norm,0.198015,0.07060074979929194,0.07366,0.32859,0
per-row,Normalized-GD,0.178699,0.028645492354334244,0.14251,0.2205,0
per-row,SN-OMD (M=5),0.140245,0.10902336683787868,-0.10588,0.28447,0
per-row,OGD,0.0009869999999999992,0.04339852174901814,-0.11224,0.04067,0
per-row,Scale-adaptive OGD,-136967.74046,385904.827056152,-1228095.69071,0.20919,6
per-step,fixed-tau clip,0.20156100000000002,0.13120935429474698,0.01966,0.38208,0
per-step,AdaGrad-Norm,0.18821000000000002,0.029033904701610876,0.13421,0.22308,0
per-step,SN-OMD (M=5),0.128048,0.1435879505003428,-0.10595,0.30912,0
per-step,Scale-adaptive OGD,0.094762,0.017917448231015237,0.0749,0.12319,0
per-step,Normalized-GD,0.094112,0.2079025208441046,-0.20241,0.3712,0
per-step,OGD,-3.5491190040737275e+101,1.1223299739861395e+102,-3.549119004073727e+102,0.1392,9
