protocol,method,mean,std,min,max,n_diverged
per-row,fixed-tau clip,0.25973666666666667,0.14608596692815268,0.14185,0.42317,0
per-row,Normalized-GD,0.23896666666666666,0.13593035434859035,0.1234,0.38873,0
per-row,AdaGrad-Norm,0.23778,0.08157785790274219,0.16886,0.32785,0
per-row,SN-OMD (M=5),0.20508,0.09266470903207973,0.13421,0.30994,0
per-row,Scale-adaptive OGD,0.19619333333333333,0.10723925229753019,0.09929,0.31141,0
per-row,OGD,-0.015546666666666665,0.11861304073892268,-0.15152,0.06667,0
per-step,Normalized-GD,0.4034233333333333,0.09854044973173878,0.30429,0.50136,0
per-step,fixed-tau clip,0.4034233333333333,0.09854044973173878,0.30429,0.50136,0
per-step,AdaGrad-Norm,0.29089000000000004,0.08702688722458132,0.22483,0.3895,0
per-step,Scale-adaptive OGD,0.2807633333333333,0.12444028782244652,0.19016,0.42265,0
per-step,SN-OMD (M=5),0.2807633333333333,0.12444028782244652,0.19016,0.42265,0
per-step,OGD,0.14665666666666666,0.035976815219434494,0.11934,0.18742,0
