protocol,tracker,window,window_idx,lr,weighted_r2
per-row,EMA,"[0,120)",1,2.0,0.28456
per-row,block-median,"[0,120)",1,3.0,0.40667
per-row,EMA,"[150,270)",2,2.0,0.20361
per-row,block-median,"[150,270)",2,3.0,0.35284
per-row,EMA,"[300,420)",3,2.0,0.14215
per-row,block-median,"[300,420)",3,3.0,0.33518
per-row,EMA,"[450,570)",4,2.0,0.19715
per-row,block-median,"[450,570)",4,3.0,0.32699
per-row,EMA,"[600,720)",5,2.0,0.14617
per-row,block-median,"[600,720)",5,3.0,0.28418
per-row,EMA,"[750,870)",6,2.0,0.1039
per-row,block-median,"[750,870)",6,3.0,0.24982
per-row,EMA,"[900,1020)",7,2.0,-0.10706
per-row,block-median,"[900,1020)",7,3.0,0.21729
per-row,EMA,"[1050,1170)",8,2.0,0.04348
per-row,block-median,"[1050,1170)",8,3.0,0.1991
per-row,EMA,"[1200,1320)",9,2.0,0.22755
per-row,block-median,"[1200,1320)",9,3.0,0.31778
per-row,EMA,"[1350,1470)",10,2.0,0.15654
per-row,block-median,"[1350,1470)",10,3.0,0.22337
per-step,EMA,"[0,120)",1,2.0,0.30656
per-step,block-median,"[0,120)",1,2.0,0.35112
per-step,EMA,"[150,270)",2,2.0,0.29186
per-step,block-median,"[150,270)",2,2.0,0.31078
per-step,EMA,"[300,420)",3,2.0,0.1675
per-step,block-median,"[300,420)",3,2.0,0.28713
per-step,EMA,"[450,570)",4,2.0,0.28769
per-step,block-median,"[450,570)",4,2.0,0.30838
per-step,EMA,"[600,720)",5,2.0,0.08685
per-step,block-median,"[600,720)",5,2.0,0.21833
per-step,EMA,"[750,870)",6,2.0,-0.01906
per-step,block-median,"[750,870)",6,2.0,0.12955
per-step,EMA,"[900,1020)",7,2.0,-0.09529
per-step,block-median,"[900,1020)",7,2.0,0.02157
per-step,EMA,"[1050,1170)",8,2.0,0.17024
per-step,block-median,"[1050,1170)",8,2.0,0.0069
per-step,EMA,"[1200,1320)",9,2.0,0.05862
per-step,block-median,"[1200,1320)",9,2.0,0.2688
per-step,EMA,"[1350,1470)",10,2.0,-0.03007
per-step,block-median,"[1350,1470)",10,2.0,0.10943
